start_id,start_vertex_type,end_id,end_vertex_type
206158430247,Comment,4398046511147,Person
206158430248,Comment,154,Person
206158430249,Comment,4398046511147,Person
206158430250,Comment,2199023255690,Person
206158430251,Comment,4398046511147,Person
206158430252,Comment,154,Person
206158430253,Comment,4398046511147,Person
206158430254,Comment,154,Person
206158430255,Comment,4398046511147,Person
206158430256,Comment,74,Person
206158430257,Comment,74,Person
206158430258,Comment,2199023255690,Person
206158430259,Comment,2199023255690,Person
206158430260,Comment,74,Person
206158430261,Comment,74,Person
206158430262,Comment,2199023255690,Person
206158430263,Comment,4398046511147,Person
206158430264,Comment,154,Person
206158430265,Comment,74,Person
206158430462,Comment,2199023255788,Person
206158430463,Comment,2199023255694,Person
206158430464,Comment,2199023255630,Person
206158430465,Comment,2199023255630,Person
206158430466,Comment,6597069766702,Person
206158430467,Comment,6597069766702,Person
206158430468,Comment,2199023255694,Person
137438953981,Comment,4398046511226,Person
137438953982,Comment,2199023255613,Person
137438953983,Comment,2199023255613,Person
137438953984,Comment,4398046511352,Person
137438953985,Comment,2199023255613,Person
137438953986,Comment,2199023255613,Person
137438953987,Comment,239,Person
137438953988,Comment,2199023255613,Person
274877907623,Comment,6597069766709,Person
274877907624,Comment,4398046511317,Person
274877907625,Comment,4398046511317,Person
274877907626,Comment,4398046511317,Person
274877907627,Comment,4398046511226,Person
274877907628,Comment,4398046511334,Person
274877907629,Comment,6597069766709,Person
274877907630,Comment,4398046511226,Person
274877907631,Comment,4398046511226,Person
274877907632,Comment,4398046511334,Person
274877907633,Comment,4398046511226,Person
274877907634,Comment,4398046511334,Person
343597384589,Comment,2199023255747,Person
343597384590,Comment,6597069766795,Person
343597384591,Comment,8796093022405,Person
343597384592,Comment,103,Person
343597384593,Comment,6597069766795,Person
343597384594,Comment,8796093022405,Person
343597384595,Comment,6597069766661,Person
343597384596,Comment,2199023255747,Person
343597384597,Comment,6597069766770,Person
343597384598,Comment,2199023255747,Person
343597384599,Comment,6597069766770,Person
343597384600,Comment,8796093022405,Person
343597384601,Comment,2199023255747,Person
343597384602,Comment,103,Person
343597384603,Comment,6597069766795,Person
343597384604,Comment,6597069766770,Person
343597384605,Comment,144,Person
343597384607,Comment,6597069766795,Person
343597384608,Comment,8796093022358,Person
343597384609,Comment,6597069766795,Person
274877908005,Comment,2199023255780,Person
274877908006,Comment,103,Person
274877908007,Comment,8796093022364,Person
274877908008,Comment,6597069766862,Person
274877908009,Comment,8796093022364,Person
274877908010,Comment,151,Person
274877908011,Comment,6597069766673,Person
274877908012,Comment,151,Person
274877908013,Comment,103,Person
274877908014,Comment,2199023255714,Person
274877908015,Comment,2199023255780,Person
343597384753,Comment,4398046511293,Person
343597384754,Comment,4398046511269,Person
343597384755,Comment,8796093022405,Person
343597384756,Comment,239,Person
343597384757,Comment,137,Person
343597384758,Comment,2199023255630,Person
343597384759,Comment,4398046511293,Person
343597384760,Comment,8796093022240,Person
343597384761,Comment,2199023255630,Person
343597384762,Comment,42,Person
343597384763,Comment,4398046511293,Person
343597384764,Comment,137,Person
343597384765,Comment,8796093022405,Person
343597384766,Comment,137,Person
343597384767,Comment,239,Person
343597384768,Comment,42,Person
343597384769,Comment,4398046511293,Person
343597384770,Comment,2199023255630,Person
343597384771,Comment,239,Person
68719478302,Comment,144,Person
68719478303,Comment,144,Person
68719478304,Comment,144,Person
68719478305,Comment,144,Person
68719478306,Comment,144,Person
68719478307,Comment,144,Person
68719478401,Comment,144,Person
68719478402,Comment,229,Person
68719478403,Comment,229,Person
68719478404,Comment,229,Person
68719478405,Comment,2199023255747,Person
68719478406,Comment,144,Person
68719478407,Comment,229,Person
68719478408,Comment,229,Person
68719478409,Comment,229,Person
68719478410,Comment,2199023255747,Person
68719478411,Comment,144,Person
68719478412,Comment,2199023255747,Person
68719478414,Comment,144,Person
68719478415,Comment,144,Person
68719478416,Comment,144,Person
68719478417,Comment,144,Person
68719478418,Comment,144,Person
68719478419,Comment,144,Person
68719478420,Comment,144,Person
206158431894,Comment,229,Person
206158431895,Comment,4398046511317,Person
206158431896,Comment,4398046511147,Person
206158431897,Comment,144,Person
206158431898,Comment,2199023255747,Person
206158431899,Comment,2199023255754,Person
206158431900,Comment,4398046511106,Person
206158431901,Comment,2199023255768,Person
206158431902,Comment,4398046511269,Person
206158431903,Comment,2199023255747,Person
206158431904,Comment,2199023255768,Person
206158431905,Comment,229,Person
206158431906,Comment,229,Person
206158431907,Comment,4398046511322,Person
206158431908,Comment,4398046511269,Person
206158431909,Comment,4398046511317,Person
206158431910,Comment,2199023255747,Person
68719478440,Comment,144,Person
68719478441,Comment,2199023255754,Person
68719478443,Comment,229,Person
68719478444,Comment,2199023255747,Person
68719478445,Comment,2199023255754,Person
68719478446,Comment,229,Person
68719478447,Comment,2199023255768,Person
68719478448,Comment,144,Person
68719478449,Comment,2199023255747,Person
68719478450,Comment,2199023255747,Person
68719478451,Comment,2199023255768,Person
68719478452,Comment,2199023255754,Person
68719478453,Comment,144,Person
68719478455,Comment,229,Person
68719478456,Comment,77,Person
68719478457,Comment,229,Person
68719478458,Comment,229,Person
68719478459,Comment,229,Person
68719478460,Comment,229,Person
68719478461,Comment,77,Person
68719478462,Comment,229,Person
68719478463,Comment,77,Person
68719478464,Comment,77,Person
68719478465,Comment,77,Person
68719478466,Comment,229,Person
68719478467,Comment,229,Person
68719478468,Comment,77,Person
68719478469,Comment,77,Person
68719478838,Comment,2199023255616,Person
68719478839,Comment,2199023255616,Person
68719478840,Comment,2199023255616,Person
68719478841,Comment,2199023255616,Person
68719478842,Comment,144,Person
68719478843,Comment,2199023255616,Person
68719478844,Comment,144,Person
68719478845,Comment,144,Person
68719478846,Comment,2199023255616,Person
68719478847,Comment,144,Person
68719478848,Comment,2199023255616,Person
68719478849,Comment,144,Person
68719478850,Comment,2199023255616,Person
68719478851,Comment,2199023255616,Person
68719478907,Comment,144,Person
68719478908,Comment,144,Person
68719478909,Comment,144,Person
68719478910,Comment,42,Person
68719478911,Comment,42,Person
68719478912,Comment,2199023255634,Person
68719478913,Comment,144,Person
68719478914,Comment,2199023255634,Person
274877909124,Comment,2199023255731,Person
274877909125,Comment,2199023255617,Person
274877909126,Comment,2199023255731,Person
274877909127,Comment,4398046511240,Person
274877909128,Comment,151,Person
274877909129,Comment,4398046511352,Person
274877909130,Comment,4398046511107,Person
274877909131,Comment,95,Person
274877909132,Comment,6597069766760,Person
274877909133,Comment,6597069766776,Person
274877909134,Comment,2199023255714,Person
274877909135,Comment,4398046511334,Person
274877909136,Comment,95,Person
274877909137,Comment,2199023255617,Person
274877909138,Comment,6597069766776,Person
274877909140,Comment,8796093022327,Person
274877909141,Comment,4398046511107,Person
274877909142,Comment,4398046511114,Person
274877909143,Comment,8796093022327,Person
274877909144,Comment,4398046511107,Person
274877909145,Comment,2199023255714,Person
274877909146,Comment,144,Person
274877909147,Comment,42,Person
343597385885,Comment,6597069766776,Person
343597385886,Comment,2199023255713,Person
343597385887,Comment,6597069766657,Person
343597385888,Comment,2199023255731,Person
343597385889,Comment,6597069766897,Person
343597385890,Comment,144,Person
343597385891,Comment,2199023255731,Person
343597385892,Comment,6597069766776,Person
274877909159,Comment,6597069766657,Person
274877909160,Comment,137,Person
274877909161,Comment,4398046511298,Person
274877909162,Comment,144,Person
274877909163,Comment,42,Person
274877909164,Comment,6597069766760,Person
274877909165,Comment,74,Person
274877909166,Comment,8796093022277,Person
274877909167,Comment,2199023255714,Person
274877909168,Comment,2199023255713,Person
274877909169,Comment,137,Person
274877909170,Comment,8796093022277,Person
274877909171,Comment,4398046511334,Person
274877909173,Comment,6597069766776,Person
274877909174,Comment,4398046511328,Person
274877909175,Comment,4398046511107,Person
274877909176,Comment,2199023255713,Person
274877909177,Comment,151,Person
274877909178,Comment,2199023255713,Person
274877909179,Comment,4398046511107,Person
274877909180,Comment,2199023255731,Person
274877909181,Comment,6597069766760,Person
274877909182,Comment,6597069766776,Person
274877909183,Comment,2199023255714,Person
274877909184,Comment,42,Person
274877909185,Comment,4398046511114,Person
274877909186,Comment,74,Person
274877909187,Comment,4398046511221,Person
274877909188,Comment,4398046511334,Person
274877909190,Comment,4398046511334,Person
274877909191,Comment,4398046511328,Person
274877909192,Comment,6597069766776,Person
274877909193,Comment,6597069766754,Person
274877909194,Comment,6597069766888,Person
274877909195,Comment,2199023255714,Person
274877909196,Comment,74,Person
274877909197,Comment,4398046511352,Person
274877909199,Comment,4398046511352,Person
274877909200,Comment,4398046511334,Person
274877909201,Comment,42,Person
274877909202,Comment,4398046511221,Person
274877909203,Comment,4398046511107,Person
274877909204,Comment,2199023255634,Person
274877909206,Comment,6597069766888,Person
274877909207,Comment,137,Person
206158432667,Comment,6597069766747,Person
206158432668,Comment,112,Person
206158432669,Comment,2199023255768,Person
206158432670,Comment,2199023255768,Person
206158432671,Comment,112,Person
206158432672,Comment,2199023255768,Person
206158432673,Comment,112,Person
206158432674,Comment,4398046511328,Person
206158432675,Comment,6597069766747,Person
274877909516,Comment,6597069766900,Person
274877909517,Comment,144,Person
206158432784,Comment,4398046511106,Person
206158432785,Comment,2199023255616,Person
206158432786,Comment,209,Person
206158432787,Comment,6597069766673,Person
206158432788,Comment,4398046511226,Person
206158432789,Comment,4398046511232,Person
206158432790,Comment,2199023255616,Person
206158432791,Comment,209,Person
206158432792,Comment,4398046511106,Person
206158432793,Comment,154,Person
206158432794,Comment,6597069766770,Person
206158432795,Comment,154,Person
206158432796,Comment,2199023255634,Person
206158432797,Comment,2199023255616,Person
206158432798,Comment,77,Person
206158432799,Comment,4398046511206,Person
206158432800,Comment,6597069766813,Person
206158432801,Comment,2199023255675,Person
206158432802,Comment,95,Person
206158432803,Comment,2199023255712,Person
274877909541,Comment,8796093022376,Person
274877909542,Comment,42,Person
274877909543,Comment,97,Person
274877909544,Comment,4398046511328,Person
274877909545,Comment,8796093022376,Person
