start_id,start_vertex_type,end_id,end_vertex_type
206158430253,Comment,1184,Tag
206158430253,Comment,6359,Tag
206158430253,Comment,11679,Tag
206158430256,Comment,1184,Tag
206158430256,Comment,3051,Tag
206158430256,Comment,5098,Tag
206158430256,Comment,6492,Tag
206158430256,Comment,7558,Tag
206158430258,Comment,1942,Tag
206158430258,Comment,2912,Tag
206158430258,Comment,3051,Tag
206158430258,Comment,6492,Tag
206158430258,Comment,7080,Tag
206158430258,Comment,7558,Tag
206158430261,Comment,2854,Tag
206158430261,Comment,3051,Tag
206158430261,Comment,5059,Tag
206158430261,Comment,6492,Tag
206158430264,Comment,6359,Tag
206158430264,Comment,6427,Tag
206158430264,Comment,7406,Tag
206158430264,Comment,11679,Tag
206158430462,Comment,9290,Tag
206158430463,Comment,9190,Tag
206158430466,Comment,14857,Tag
206158430467,Comment,2904,Tag
137438953981,Comment,976,Tag
137438953981,Comment,2873,Tag
137438953981,Comment,7511,Tag
137438953981,Comment,12409,Tag
137438953981,Comment,13817,Tag
137438953983,Comment,1297,Tag
137438953983,Comment,2894,Tag
137438953983,Comment,5077,Tag
137438953983,Comment,5290,Tag
137438953983,Comment,12409,Tag
137438953985,Comment,1026,Tag
137438953985,Comment,2114,Tag
137438953985,Comment,2873,Tag
137438953985,Comment,7511,Tag
137438953985,Comment,9303,Tag
137438953988,Comment,1026,Tag
137438953988,Comment,2873,Tag
137438953988,Comment,6393,Tag
137438953988,Comment,6819,Tag
137438953988,Comment,6863,Tag
137438953988,Comment,7511,Tag
137438953988,Comment,9303,Tag
274877907623,Comment,1197,Tag
274877907623,Comment,2839,Tag
274877907624,Comment,1197,Tag
274877907624,Comment,6408,Tag
274877907629,Comment,787,Tag
274877907629,Comment,1197,Tag
274877907629,Comment,6408,Tag
274877907631,Comment,1767,Tag
274877907631,Comment,10932,Tag
274877907633,Comment,9259,Tag
274877907633,Comment,10932,Tag
343597384591,Comment,462,Tag
343597384591,Comment,11775,Tag
343597384593,Comment,462,Tag
343597384593,Comment,1196,Tag
343597384593,Comment,2103,Tag
343597384596,Comment,796,Tag
343597384599,Comment,462,Tag
343597384599,Comment,9506,Tag
343597384599,Comment,11775,Tag
343597384608,Comment,2051,Tag
343597384608,Comment,2791,Tag
343597384608,Comment,6529,Tag
343597384608,Comment,10735,Tag
343597384608,Comment,11807,Tag
274877908009,Comment,195,Tag
274877908009,Comment,1991,Tag
274877908009,Comment,1996,Tag
274877908009,Comment,6666,Tag
274877908009,Comment,10757,Tag
274877908009,Comment,11996,Tag
274877908015,Comment,195,Tag
274877908015,Comment,1991,Tag
274877908015,Comment,1996,Tag
274877908015,Comment,5081,Tag
274877908015,Comment,6666,Tag
274877908015,Comment,7803,Tag
274877908015,Comment,9095,Tag
274877908015,Comment,11996,Tag
343597384754,Comment,1411,Tag
343597384754,Comment,6973,Tag
343597384756,Comment,1411,Tag
343597384756,Comment,6973,Tag
343597384756,Comment,11783,Tag
343597384757,Comment,1411,Tag
343597384757,Comment,5085,Tag
343597384757,Comment,6973,Tag
343597384761,Comment,9340,Tag
343597384768,Comment,7550,Tag
68719478305,Comment,1133,Tag
68719478305,Comment,2077,Tag
68719478305,Comment,6275,Tag
68719478305,Comment,6379,Tag
68719478305,Comment,9319,Tag
68719478401,Comment,2085,Tag
68719478401,Comment,5133,Tag
68719478402,Comment,1177,Tag
68719478402,Comment,5133,Tag
68719478403,Comment,1177,Tag
68719478403,Comment,5259,Tag
68719478404,Comment,12020,Tag
68719478408,Comment,7023,Tag
68719478411,Comment,2077,Tag
68719478412,Comment,5645,Tag
68719478414,Comment,2906,Tag
68719478416,Comment,11267,Tag
68719478419,Comment,10800,Tag
68719478419,Comment,11267,Tag
68719478420,Comment,419,Tag
206158431906,Comment,974,Tag
206158431906,Comment,2085,Tag
206158431910,Comment,2027,Tag
68719478441,Comment,2787,Tag
68719478441,Comment,2834,Tag
68719478441,Comment,5107,Tag
68719478441,Comment,12160,Tag
68719478444,Comment,2895,Tag
68719478444,Comment,4976,Tag
68719478444,Comment,5168,Tag
68719478444,Comment,6945,Tag
68719478444,Comment,7920,Tag
68719478444,Comment,8913,Tag
68719478444,Comment,9035,Tag
68719478444,Comment,11849,Tag
68719478446,Comment,2077,Tag
68719478446,Comment,6374,Tag
68719478446,Comment,7556,Tag
68719478446,Comment,11036,Tag
68719478446,Comment,12951,Tag
68719478446,Comment,13380,Tag
68719478447,Comment,5401,Tag
68719478447,Comment,5711,Tag
68719478447,Comment,6374,Tag
68719478447,Comment,9258,Tag
68719478447,Comment,12951,Tag
68719478448,Comment,62,Tag
68719478448,Comment,2077,Tag
68719478448,Comment,7556,Tag
68719478448,Comment,9148,Tag
68719478448,Comment,11036,Tag
68719478448,Comment,12743,Tag
68719478457,Comment,1549,Tag
68719478457,Comment,4850,Tag
68719478457,Comment,9256,Tag
68719478457,Comment,9573,Tag
68719478457,Comment,13192,Tag
68719478458,Comment,1615,Tag
68719478458,Comment,2045,Tag
68719478458,Comment,5109,Tag
68719478458,Comment,9573,Tag
68719478458,Comment,11687,Tag
68719478458,Comment,12764,Tag
