start_id,start_vertex_type,end_id,end_vertex_type
206158430247,Comment,61,Place
206158430248,Comment,97,Place
206158430249,Comment,61,Place
206158430250,Comment,58,Place
206158430251,Comment,61,Place
206158430252,Comment,97,Place
206158430253,Comment,61,Place
206158430254,Comment,97,Place
206158430255,Comment,61,Place
206158430256,Comment,2,Place
206158430257,Comment,2,Place
206158430258,Comment,70,Place
206158430259,Comment,70,Place
206158430260,Comment,102,Place
206158430261,Comment,2,Place
206158430262,Comment,68,Place
206158430263,Comment,30,Place
206158430264,Comment,97,Place
206158430265,Comment,2,Place
206158430462,Comment,52,Place
206158430463,Comment,2,Place
206158430464,Comment,51,Place
206158430465,Comment,51,Place
206158430466,Comment,91,Place
206158430467,Comment,91,Place
206158430468,Comment,2,Place
137438953981,Comment,107,Place
137438953982,Comment,51,Place
137438953983,Comment,51,Place
137438953984,Comment,24,Place
137438953985,Comment,51,Place
137438953986,Comment,51,Place
137438953987,Comment,106,Place
137438953988,Comment,51,Place
274877907623,Comment,53,Place
274877907624,Comment,107,Place
274877907625,Comment,107,Place
274877907626,Comment,107,Place
274877907627,Comment,107,Place
274877907628,Comment,100,Place
274877907629,Comment,53,Place
274877907630,Comment,107,Place
274877907631,Comment,107,Place
274877907632,Comment,100,Place
274877907633,Comment,107,Place
274877907634,Comment,100,Place
343597384589,Comment,85,Place
343597384590,Comment,56,Place
343597384591,Comment,80,Place
343597384592,Comment,85,Place
343597384593,Comment,56,Place
343597384594,Comment,80,Place
343597384595,Comment,49,Place
343597384596,Comment,85,Place
343597384597,Comment,1,Place
343597384598,Comment,85,Place
343597384599,Comment,1,Place
343597384600,Comment,80,Place
343597384601,Comment,85,Place
343597384602,Comment,85,Place
343597384603,Comment,56,Place
343597384604,Comment,1,Place
343597384605,Comment,79,Place
343597384607,Comment,56,Place
343597384608,Comment,76,Place
343597384609,Comment,56,Place
274877908005,Comment,2,Place
274877908006,Comment,85,Place
274877908007,Comment,97,Place
274877908008,Comment,2,Place
274877908009,Comment,97,Place
274877908010,Comment,54,Place
274877908011,Comment,29,Place
274877908012,Comment,54,Place
274877908013,Comment,85,Place
274877908014,Comment,1,Place
274877908015,Comment,2,Place
343597384753,Comment,51,Place
343597384754,Comment,51,Place
343597384755,Comment,80,Place
343597384756,Comment,102,Place
343597384757,Comment,57,Place
343597384758,Comment,51,Place
343597384759,Comment,51,Place
343597384760,Comment,51,Place
343597384761,Comment,51,Place
343597384762,Comment,1,Place
343597384763,Comment,51,Place
343597384764,Comment,57,Place
343597384765,Comment,80,Place
343597384766,Comment,57,Place
343597384767,Comment,106,Place
343597384768,Comment,1,Place
343597384769,Comment,51,Place
343597384770,Comment,51,Place
343597384771,Comment,106,Place
68719478302,Comment,79,Place
68719478303,Comment,111,Place
68719478304,Comment,79,Place
68719478305,Comment,20,Place
68719478306,Comment,79,Place
68719478307,Comment,79,Place
68719478401,Comment,79,Place
68719478402,Comment,77,Place
68719478403,Comment,77,Place
68719478404,Comment,77,Place
68719478405,Comment,85,Place
68719478406,Comment,79,Place
68719478407,Comment,77,Place
68719478408,Comment,77,Place
68719478409,Comment,77,Place
68719478410,Comment,85,Place
68719478411,Comment,79,Place
68719478412,Comment,85,Place
68719478414,Comment,79,Place
68719478415,Comment,79,Place
68719478416,Comment,79,Place
68719478417,Comment,79,Place
68719478418,Comment,79,Place
68719478419,Comment,79,Place
68719478420,Comment,79,Place
206158431894,Comment,77,Place
206158431895,Comment,107,Place
206158431896,Comment,61,Place
206158431897,Comment,79,Place
206158431898,Comment,85,Place
206158431899,Comment,107,Place
206158431900,Comment,79,Place
206158431901,Comment,89,Place
206158431902,Comment,51,Place
206158431903,Comment,85,Place
206158431904,Comment,89,Place
206158431905,Comment,77,Place
206158431906,Comment,77,Place
206158431907,Comment,82,Place
206158431908,Comment,51,Place
206158431909,Comment,107,Place
206158431910,Comment,85,Place
68719478440,Comment,79,Place
68719478441,Comment,107,Place
68719478443,Comment,77,Place
68719478444,Comment,85,Place
68719478445,Comment,107,Place
68719478446,Comment,77,Place
68719478447,Comment,89,Place
68719478448,Comment,79,Place
68719478449,Comment,85,Place
68719478450,Comment,85,Place
68719478451,Comment,89,Place
68719478452,Comment,107,Place
68719478453,Comment,79,Place
68719478455,Comment,77,Place
68719478456,Comment,99,Place
68719478457,Comment,77,Place
68719478458,Comment,77,Place
68719478459,Comment,77,Place
68719478460,Comment,77,Place
68719478461,Comment,99,Place
68719478462,Comment,77,Place
68719478463,Comment,99,Place
68719478464,Comment,99,Place
68719478465,Comment,99,Place
68719478466,Comment,77,Place
68719478467,Comment,77,Place
68719478468,Comment,99,Place
68719478469,Comment,99,Place
68719478838,Comment,51,Place
68719478839,Comment,51,Place
68719478840,Comment,51,Place
68719478841,Comment,51,Place
68719478842,Comment,79,Place
68719478843,Comment,45,Place
68719478844,Comment,79,Place
68719478845,Comment,79,Place
68719478846,Comment,51,Place
68719478847,Comment,79,Place
68719478848,Comment,51,Place
68719478849,Comment,79,Place
68719478850,Comment,51,Place
68719478851,Comment,51,Place
68719478907,Comment,79,Place
68719478908,Comment,79,Place
68719478909,Comment,79,Place
68719478910,Comment,1,Place
68719478911,Comment,1,Place
68719478912,Comment,54,Place
68719478913,Comment,79,Place
68719478914,Comment,54,Place
274877909124,Comment,86,Place
274877909125,Comment,71,Place
274877909126,Comment,86,Place
274877909127,Comment,1,Place
274877909128,Comment,54,Place
274877909129,Comment,24,Place
274877909130,Comment,52,Place
274877909131,Comment,1,Place
274877909132,Comment,83,Place
274877909133,Comment,2,Place
274877909134,Comment,1,Place
274877909135,Comment,100,Place
274877909136,Comment,1,Place
274877909137,Comment,71,Place
274877909138,Comment,2,Place
274877909140,Comment,78,Place
274877909141,Comment,52,Place
274877909142,Comment,5,Place
274877909143,Comment,78,Place
274877909144,Comment,52,Place
274877909145,Comment,1,Place
274877909146,Comment,79,Place
274877909147,Comment,1,Place
343597385885,Comment,2,Place
343597385886,Comment,56,Place
343597385887,Comment,1,Place
343597385888,Comment,86,Place
343597385889,Comment,55,Place
343597385890,Comment,79,Place
343597385891,Comment,86,Place
343597385892,Comment,2,Place
274877909159,Comment,1,Place
274877909160,Comment,57,Place
274877909161,Comment,2,Place
274877909162,Comment,79,Place
274877909163,Comment,1,Place
274877909164,Comment,83,Place
274877909165,Comment,2,Place
274877909166,Comment,55,Place
274877909167,Comment,1,Place
274877909168,Comment,56,Place
274877909169,Comment,57,Place
274877909170,Comment,55,Place
274877909171,Comment,100,Place
274877909173,Comment,2,Place
274877909174,Comment,48,Place
274877909175,Comment,52,Place
274877909176,Comment,56,Place
274877909177,Comment,54,Place
274877909178,Comment,56,Place
274877909179,Comment,52,Place
274877909180,Comment,86,Place
274877909181,Comment,83,Place
274877909182,Comment,2,Place
274877909183,Comment,1,Place
274877909184,Comment,1,Place
274877909185,Comment,5,Place
274877909186,Comment,2,Place
274877909187,Comment,1,Place
274877909188,Comment,100,Place
274877909190,Comment,100,Place
274877909191,Comment,1,Place
274877909192,Comment,2,Place
274877909193,Comment,1,Place
274877909194,Comment,55,Place
274877909195,Comment,1,Place
274877909196,Comment,2,Place
274877909197,Comment,24,Place
274877909199,Comment,24,Place
274877909200,Comment,100,Place
274877909201,Comment,1,Place
274877909202,Comment,1,Place
274877909203,Comment,52,Place
274877909204,Comment,54,Place
274877909206,Comment,55,Place
274877909207,Comment,57,Place
206158432667,Comment,59,Place
206158432668,Comment,2,Place
206158432669,Comment,89,Place
206158432670,Comment,89,Place
206158432671,Comment,2,Place
206158432672,Comment,89,Place
206158432673,Comment,2,Place
206158432674,Comment,1,Place
206158432675,Comment,59,Place
274877909516,Comment,106,Place
274877909517,Comment,79,Place
206158432784,Comment,32,Place
206158432785,Comment,51,Place
206158432786,Comment,110,Place
206158432787,Comment,93,Place
206158432788,Comment,107,Place
206158432789,Comment,53,Place
206158432790,Comment,51,Place
206158432791,Comment,110,Place
206158432792,Comment,79,Place
206158432793,Comment,97,Place
206158432794,Comment,1,Place
206158432795,Comment,97,Place
206158432796,Comment,54,Place
206158432797,Comment,51,Place
206158432798,Comment,99,Place
206158432799,Comment,51,Place
206158432800,Comment,107,Place
206158432801,Comment,1,Place
206158432802,Comment,1,Place
206158432803,Comment,100,Place
274877909541,Comment,1,Place
274877909542,Comment,1,Place
274877909543,Comment,2,Place
274877909544,Comment,1,Place
274877909545,Comment,1,Place
274877909546,Comment,1,Place
274877909547,Comment,1,Place
274877909548,Comment,1,Place
274877909549,Comment,51,Place
274877909550,Comment,1,Place
274877909551,Comment,1,Place
274877909552,Comment,22,Place
274877909553,Comment,1,Place
274877909554,Comment,51,Place
274877909555,Comment,1,Place
343597386293,Comment,57,Place
343597386294,Comment,51,Place
343597386295,Comment,49,Place
343597386296,Comment,2,Place
343597386297,Comment,2,Place
343597386298,Comment,2,Place
206158432838,Comment,24,Place
206158432839,Comment,14,Place
206158432840,Comment,53,Place
206158432841,Comment,26,Place
206158432842,Comment,82,Place
206158432843,Comment,57,Place
206158432844,Comment,1,Place
206158432845,Comment,57,Place
206158432846,Comment,53,Place
206158432847,Comment,57,Place
206158432848,Comment,89,Place
206158432849,Comment,53,Place
206158432850,Comment,51,Place
274877909588,Comment,1,Place
274877909589,Comment,82,Place
274877909590,Comment,51,Place
274877909591,Comment,26,Place
274877909592,Comment,97,Place
274877909593,Comment,106,Place
274877909594,Comment,1,Place
274877909595,Comment,97,Place
274877909596,Comment,49,Place
274877909597,Comment,60,Place
274877909598,Comment,51,Place
274877909599,Comment,1,Place
274877909600,Comment,87,Place
274877909601,Comment,2,Place
274877909602,Comment,89,Place
68719479396,Comment,99,Place
