start_id,start_vertex_type,end_id,end_vertex_type
274877906945,Forum,1525,Tag
274877906945,Forum,2042,Tag
274877906945,Forum,14813,Tag
343597383682,Forum,14813,Tag
343597383683,Forum,14813,Tag
343597383684,Forum,1525,Tag
137438953478,Forum,276,Tag
137438953478,Forum,785,Tag
137438953478,Forum,1763,Tag
137438953478,Forum,1991,Tag
137438953478,Forum,2857,Tag
137438953478,Forum,11634,Tag
137438953478,Forum,11873,Tag
206158430215,Forum,1430,Tag
206158430215,Forum,5722,Tag
206158430215,Forum,6366,Tag
68719476744,Forum,1184,Tag
68719476744,Forum,1463,Tag
68719476744,Forum,1765,Tag
68719476744,Forum,1985,Tag
68719476744,Forum,1994,Tag
68719476744,Forum,2005,Tag
68719476744,Forum,2088,Tag
68719476744,Forum,2805,Tag
68719476744,Forum,2811,Tag
68719476744,Forum,2859,Tag
68719476744,Forum,2877,Tag
68719476744,Forum,2916,Tag
68719476744,Forum,2958,Tag
68719476744,Forum,3025,Tag
68719476744,Forum,3051,Tag
68719476744,Forum,3097,Tag
68719476744,Forum,5547,Tag
68719476744,Forum,6492,Tag
68719476744,Forum,6992,Tag
68719476744,Forum,7032,Tag
68719476744,Forum,9142,Tag
68719476744,Forum,9144,Tag
68719476744,Forum,9311,Tag
68719476744,Forum,10559,Tag
68719476744,Forum,10998,Tag
206158430217,Forum,2916,Tag
68719476746,Forum,1765,Tag
137438953483,Forum,9311,Tag
137438953484,Forum,3025,Tag
68719476749,Forum,3097,Tag
206158430222,Forum,10559,Tag
274877906959,Forum,2088,Tag
274877906960,Forum,2811,Tag
206158430225,Forum,10559,Tag
68719476754,Forum,207,Tag
68719476754,Forum,300,Tag
68719476754,Forum,450,Tag
68719476754,Forum,470,Tag
68719476754,Forum,546,Tag
68719476754,Forum,566,Tag
68719476754,Forum,574,Tag
68719476754,Forum,580,Tag
68719476754,Forum,597,Tag
68719476754,Forum,975,Tag
68719476754,Forum,1022,Tag
68719476754,Forum,1023,Tag
68719476754,Forum,1165,Tag
68719476754,Forum,1171,Tag
68719476754,Forum,1172,Tag
68719476754,Forum,1177,Tag
68719476754,Forum,1179,Tag
68719476754,Forum,1187,Tag
68719476754,Forum,1192,Tag
68719476754,Forum,1196,Tag
68719476754,Forum,1202,Tag
68719476754,Forum,1206,Tag
68719476754,Forum,1422,Tag
68719476754,Forum,1615,Tag
68719476754,Forum,1675,Tag
68719476754,Forum,1760,Tag
68719476754,Forum,1765,Tag
68719476754,Forum,1931,Tag
68719476754,Forum,1954,Tag
68719476754,Forum,1985,Tag
68719476754,Forum,1986,Tag
68719476754,Forum,2004,Tag
68719476754,Forum,2019,Tag
68719476754,Forum,2050,Tag
68719476754,Forum,2084,Tag
68719476754,Forum,2096,Tag
68719476754,Forum,2119,Tag
68719476754,Forum,2788,Tag
68719476754,Forum,2798,Tag
68719476754,Forum,2824,Tag
68719476754,Forum,2849,Tag
68719476754,Forum,2896,Tag
68719476754,Forum,2929,Tag
68719476754,Forum,2960,Tag
68719476754,Forum,2967,Tag
68719476754,Forum,2974,Tag
68719476754,Forum,3025,Tag
68719476754,Forum,3027,Tag
68719476754,Forum,3049,Tag
68719476754,Forum,3071,Tag
68719476754,Forum,3112,Tag
68719476754,Forum,4850,Tag
68719476754,Forum,5079,Tag
68719476754,Forum,5118,Tag
68719476754,Forum,5160,Tag
68719476754,Forum,5192,Tag
68719476754,Forum,5193,Tag
68719476754,Forum,5259,Tag
68719476754,Forum,6396,Tag
68719476754,Forum,6419,Tag
68719476754,Forum,6946,Tag
68719476754,Forum,7581,Tag
68719476754,Forum,7684,Tag
68719476754,Forum,9037,Tag
68719476754,Forum,9085,Tag
68719476754,Forum,9171,Tag
68719476754,Forum,9178,Tag
68719476754,Forum,9478,Tag
68719476754,Forum,11255,Tag
68719476754,Forum,11376,Tag
68719476754,Forum,11409,Tag
68719476754,Forum,11532,Tag
68719476754,Forum,11744,Tag
68719476754,Forum,14037,Tag
274877906963,Forum,1179,Tag
343597383700,Forum,9478,Tag
343597383701,Forum,1615,Tag
206158430230,Forum,3049,Tag
206158430233,Forum,1931,Tag
206158430234,Forum,9085,Tag
68719476763,Forum,11255,Tag
137438953500,Forum,5079,Tag
137438953501,Forum,281,Tag
137438953501,Forum,285,Tag
137438953501,Forum,449,Tag
137438953501,Forum,541,Tag
137438953501,Forum,807,Tag
137438953501,Forum,1029,Tag
137438953501,Forum,1186,Tag
137438953501,Forum,1616,Tag
137438953501,Forum,1645,Tag
137438953501,Forum,1985,Tag
137438953501,Forum,1986,Tag
137438953501,Forum,2780,Tag
137438953501,Forum,2800,Tag
137438953501,Forum,2827,Tag
137438953501,Forum,2879,Tag
137438953501,Forum,2891,Tag
137438953501,Forum,2946,Tag
137438953501,Forum,3005,Tag
137438953501,Forum,3011,Tag
137438953501,Forum,3084,Tag
137438953501,Forum,5157,Tag
137438953501,Forum,5159,Tag
137438953501,Forum,5855,Tag
137438953501,Forum,6072,Tag
137438953501,Forum,6378,Tag
137438953501,Forum,6659,Tag
137438953501,Forum,6963,Tag
137438953501,Forum,6991,Tag
