start_id,start_vertex_type,end_id,end_vertex_type
8796093022221,Person,1074,Place
4398046511193,Person,315,Place
6597069766747,Person,935,Place
2199023255712,Person,1344,Place
2199023255592,Person,859,Place
4398046511125,Person,532,Place
10995116277845,Person,1421,Place
10995116277993,Person,1169,Place
66,Person,1204,Place
8796093022314,Person,227,Place
2199023255635,Person,1226,Place
4398046511221,Person,266,Place
4398046511257,Person,495,Place
196,Person,288,Place
6597069766764,Person,1179,Place
4398046511269,Person,619,Place
4398046511344,Person,1434,Place
4398046511253,Person,437,Place
6597069766760,Person,1182,Place
6597069766813,Person,1417,Place
6597069766890,Person,1386,Place
51,Person,1302,Place
2199023255731,Person,1216,Place
4398046511106,Person,1148,Place
4398046511316,Person,1141,Place
6597069766846,Person,485,Place
8796093022240,Person,606,Place
8796093022302,Person,977,Place
2199023255737,Person,946,Place
2199023255768,Person,1239,Place
4398046511225,Person,1249,Place
2199023255613,Person,635,Place
2199023255622,Person,696,Place
8796093022405,Person,1152,Place
109,Person,1243,Place
235,Person,536,Place
8796093022223,Person,1167,Place
10995116277795,Person,973,Place
49,Person,1250,Place
86,Person,424,Place
6597069766819,Person,966,Place
2199023255754,Person,1417,Place
6597069766840,Person,709,Place
103,Person,1206,Place
2199023255713,Person,827,Place
6597069766682,Person,1178,Place
4398046511353,Person,1346,Place
6597069766832,Person,426,Place
8796093022323,Person,931,Place
7,Person,412,Place
6597069766723,Person,178,Place
8796093022292,Person,854,Place
8796093022301,Person,1323,Place
239,Person,1411,Place
6597069766735,Person,1152,Place
2199023255590,Person,408,Place
2199023255670,Person,1006,Place
2199023255743,Person,959,Place
4398046511163,Person,1209,Place
8796093022236,Person,1283,Place
4398046511326,Person,489,Place
6597069766900,Person,1405,Place
8796093022283,Person,236,Place
4398046511250,Person,907,Place
8796093022280,Person,1322,Place
4398046511298,Person,386,Place
8796093022391,Person,1412,Place
2199023255556,Person,867,Place
8796093022341,Person,1123,Place
4398046511110,Person,1015,Place
4398046511334,Person,1346,Place
6597069766748,Person,127,Place
8796093022233,Person,389,Place
8796093022327,Person,1131,Place
2199023255630,Person,606,Place
2199023255642,Person,281,Place
4398046511184,Person,1293,Place
6597069766867,Person,446,Place
8796093022364,Person,1322,Place
2199023255575,Person,700,Place
4398046511240,Person,165,Place
2199023255718,Person,127,Place
6597069766776,Person,444,Place
95,Person,136,Place
4398046511114,Person,511,Place
6597069766673,Person,1285,Place
6597069766836,Person,427,Place
2199023255755,Person,1343,Place
8796093022454,Person,1301,Place
10995116277794,Person,970,Place
6597069766693,Person,256,Place
6597069766856,Person,780,Place
8796093022376,Person,118,Place
112,Person,381,Place
4398046511147,Person,967,Place
6597069766770,Person,162,Place
6597069766820,Person,1101,Place
2199023255700,Person,204,Place
2199023255790,Person,384,Place
6597069766702,Person,1265,Place
8796093022319,Person,881,Place
8796093022412,Person,336,Place
6597069766710,Person,765,Place
8796093022453,Person,1430,Place
10995116277807,Person,751,Place
4398046511134,Person,453,Place
6597069766754,Person,173,Place
8796093022249,Person,589,Place
6597069766709,Person,679,Place
6597069766795,Person,808,Place
60,Person,228,Place
2199023255788,Person,653,Place
4398046511113,Person,959,Place
4398046511159,Person,132,Place
134,Person,1182,Place
2199023255675,Person,308,Place
4398046511322,Person,1174,Place
8796093022433,Person,114,Place
10995116277796,Person,787,Place
2199023255566,Person,1411,Place
4398046511226,Person,1417,Place
6597069766675,Person,1333,Place
8796093022321,Person,140,Place
10995116277828,Person,802,Place
209,Person,1439,Place
8796093022289,Person,792,Place
6597069766757,Person,976,Place
10995116277867,Person,557,Place
4398046511206,Person,600,Place
4398046511124,Person,1453,Place
10995116277892,Person,696,Place
144,Person,1143,Place
2199023255739,Person,1006,Place
4398046511148,Person,149,Place
4398046511251,Person,1208,Place
6597069766668,Person,351,Place
2199023255694,Person,503,Place
8796093022360,Person,958,Place
2199023255767,Person,1391,Place
4398046511137,Person,738,Place
8796093022358,Person,1119,Place
6597069766897,Person,756,Place
4398046511220,Person,446,Place
4398046511328,Person,164,Place
8796093022349,Person,1423,Place
10995116277941,Person,1436,Place
2199023255783,Person,934,Place
6597069766829,Person,558,Place
6597069766657,Person,286,Place
4398046511233,Person,127,Place
10995116277915,Person,1315,Place
2199023255608,Person,1076,Place
143,Person,185,Place
174,Person,391,Place
2199023255757,Person,617,Place
8796093022216,Person,340,Place
6597069766708,Person,1179,Place
6597069766823,Person,993,Place
6597069766888,Person,765,Place
10995116277919,Person,781,Place
2199023255780,Person,446,Place
42,Person,186,Place
4398046511152,Person,1357,Place
4398046511293,Person,628,Place
4398046511318,Person,568,Place
4398046511331,Person,947,Place
2199023255634,Person,730,Place
2199023255690,Person,1051,Place
2199023255794,Person,607,Place
6597069766661,Person,555,Place
10995116278010,Person,1223,Place
11,Person,633,Place
4398046511325,Person,1130,Place
10995116277810,Person,145,Place
137,Person,848,Place
4398046511128,Person,878,Place
4398046511275,Person,594,Place
8796093022265,Person,1087,Place
8796093022308,Person,364,Place
2199023255617,Person,1062,Place
4398046511230,Person,1332,Place
6597069766862,Person,427,Place
10995116277959,Person,830,Place
77,Person,1343,Place
2199023255747,Person,1205,Place
10995116277885,Person,1305,Place
97,Person,406,Place
4398046511262,Person,493,Place
4398046511352,Person,530,Place
6597069766780,Person,1276,Place
10995116277948,Person,657,Place
74,Person,443,Place
4398046511286,Person,1087,Place
10995116277859,Person,138,Place
10995116277938,Person,721,Place
247,Person,1021,Place
4398046511107,Person,643,Place
4398046511191,Person,726,Place
6597069766796,Person,535,Place
219,Person,884,Place
4398046511317,Person,1415,Place
8796093022253,Person,842,Place
6597069766825,Person,1163,Place
6597069766842,Person,725,Place
8796093022239,Person,1370,Place
229,Person,1128,Place
8796093022277,Person,792,Place
6597069766879,Person,778,Place
8796093022380,Person,191,Place
10995116277986,Person,1279,Place
6597069766833,Person,1178,Place
151,Person,746,Place
154,Person,1320,Place
2199023255616,Person,601,Place
6597069766787,Person,715,Place
8796093022415,Person,1406,Place
8796093022445,Person,972,Place
2199023255581,Person,1364,Place
4398046511232,Person,682,Place
2199023255714,Person,136,Place
6597069766848,Person,797,Place
8796093022247,Person,748,Place
