start_id,start_vertex_type,end_id,end_vertex_type
137438953508,Post,276,Tag
137438953508,Post,2857,Tag
343597383717,Post,1184,Tag
206158430246,Post,1184,Tag
206158430246,Post,3051,Tag
206158430246,Post,6492,Tag
206158430461,Post,281,Tag
68719477243,Post,1445,Tag
68719477243,Post,2904,Tag
137438953980,Post,976,Tag
137438953980,Post,1297,Tag
137438953980,Post,9224,Tag
137438953980,Post,12409,Tag
137438953980,Post,13769,Tag
274877907622,Post,1197,Tag
343597384588,Post,462,Tag
343597384588,Post,1196,Tag
343597384606,Post,1500,Tag
343597384606,Post,2098,Tag
343597384606,Post,2791,Tag
343597384606,Post,6529,Tag
343597384606,Post,14244,Tag
274877908004,Post,195,Tag
274877908004,Post,1991,Tag
274877908004,Post,1996,Tag
274877908004,Post,5667,Tag
274877908004,Post,9042,Tag
274877908004,Post,14375,Tag
343597384752,Post,1411,Tag
68719478301,Post,1133,Tag
68719478301,Post,5143,Tag
68719478301,Post,6379,Tag
68719478301,Post,6395,Tag
68719478301,Post,8591,Tag
68719478400,Post,2085,Tag
68719478413,Post,2085,Tag
206158431893,Post,2085,Tag
68719478439,Post,1170,Tag
68719478439,Post,2951,Tag
68719478439,Post,2974,Tag
68719478439,Post,5107,Tag
68719478439,Post,5160,Tag
68719478442,Post,1170,Tag
68719478442,Post,4976,Tag
68719478442,Post,5168,Tag
68719478442,Post,6374,Tag
68719478442,Post,7556,Tag
68719478442,Post,7920,Tag
68719478442,Post,9035,Tag
68719478454,Post,1170,Tag
68719478454,Post,2045,Tag
68719478454,Post,2913,Tag
68719478454,Post,9573,Tag
68719478454,Post,12764,Tag
68719478454,Post,13192,Tag
68719478837,Post,1340,Tag
68719478837,Post,2988,Tag
68719478837,Post,5128,Tag
68719478906,Post,1445,Tag
274877909123,Post,1445,Tag
274877909139,Post,1445,Tag
343597385884,Post,1445,Tag
343597385884,Post,2009,Tag
274877909157,Post,1445,Tag
274877909158,Post,565,Tag
274877909158,Post,977,Tag
274877909158,Post,1376,Tag
274877909158,Post,6407,Tag
274877909158,Post,6444,Tag
274877909158,Post,9147,Tag
274877909158,Post,9244,Tag
274877909158,Post,9434,Tag
274877909172,Post,565,Tag
274877909172,Post,1763,Tag
274877909172,Post,2974,Tag
274877909172,Post,6932,Tag
274877909172,Post,7368,Tag
274877909189,Post,565,Tag
274877909189,Post,2031,Tag
274877909189,Post,11238,Tag
274877909189,Post,11584,Tag
274877909198,Post,565,Tag
274877909198,Post,6270,Tag
274877909198,Post,7548,Tag
274877909198,Post,7559,Tag
274877909198,Post,7582,Tag
274877909205,Post,565,Tag
274877909205,Post,5807,Tag
206158432666,Post,1522,Tag
206158432666,Post,2851,Tag
206158432666,Post,8154,Tag
206158432666,Post,12610,Tag
274877909515,Post,1420,Tag
137438956046,Post,1420,Tag
206158432783,Post,1420,Tag
274877909540,Post,246,Tag
274877909540,Post,9144,Tag
274877909540,Post,11252,Tag
274877909540,Post,14786,Tag
343597386292,Post,1411,Tag
206158432837,Post,139,Tag
206158432837,Post,792,Tag
206158432837,Post,2782,Tag
206158432837,Post,6412,Tag
206158432837,Post,11626,Tag
274877909587,Post,139,Tag
274877909587,Post,1199,Tag
274877909587,Post,2118,Tag
68719479395,Post,139,Tag
68719479395,Post,1175,Tag
68719479395,Post,1178,Tag
206158432883,Post,139,Tag
206158432883,Post,978,Tag
68719479609,Post,471,Tag
68719479609,Post,1985,Tag
68719479609,Post,3002,Tag
343597386554,Post,3,Tag
343597386569,Post,3,Tag
274877909839,Post,1202,Tag
274877909839,Post,2027,Tag
274877909839,Post,2053,Tag
274877909839,Post,2846,Tag
274877909839,Post,3067,Tag
274877909839,Post,5134,Tag
274877909839,Post,5195,Tag
274877909839,Post,6369,Tag
274877909839,Post,9176,Tag
274877909839,Post,11744,Tag
274877909858,Post,1171,Tag
274877909858,Post,1202,Tag
274877909858,Post,12127,Tag
274877909920,Post,1527,Tag
274877909925,Post,1527,Tag
274877909925,Post,2006,Tag
274877909925,Post,7659,Tag
206158433195,Post,1750,Tag
206158433195,Post,2077,Tag
274877909944,Post,246,Tag
274877909944,Post,1184,Tag
274877909944,Post,2882,Tag
274877909944,Post,2889,Tag
274877909944,Post,2969,Tag
274877909944,Post,2983,Tag
274877909944,Post,3006,Tag
274877909944,Post,5067,Tag
274877909944,Post,6951,Tag
206158433353,Post,133,Tag
206158433353,Post,799,Tag
206158433353,Post,2073,Tag
206158433353,Post,5130,Tag
206158433358,Post,133,Tag
206158433358,Post,6941,Tag
343597386843,Post,133,Tag
343597386843,Post,2935,Tag
343597386843,Post,3002,Tag
343597386843,Post,7351,Tag
274877910109,Post,1501,Tag
274877910109,Post,2948,Tag
274877910109,Post,6394,Tag
274877910109,Post,10920,Tag
274877910112,Post,1501,Tag
274877910112,Post,2900,Tag
274877910112,Post,4980,Tag
274877910112,Post,7288,Tag
274877910112,Post,9044,Tag
274877910112,Post,9233,Tag
274877910112,Post,11643,Tag
274877910112,Post,12031,Tag
274877910117,Post,811,Tag
274877910117,Post,1501,Tag
274877910117,Post,6947,Tag
274877910117,Post,7953,Tag
274877910117,Post,11383,Tag
274877910117,Post,13015,Tag
274877910133,Post,1501,Tag
274877910133,Post,11316,Tag
274877910141,Post,1501,Tag
274877910141,Post,6373,Tag
274877910141,Post,7222,Tag
274877910141,Post,11658,Tag
274877910155,Post,1501,Tag
274877910155,Post,2978,Tag
274877910155,Post,3096,Tag
274877910155,Post,5675,Tag
274877910155,Post,6024,Tag
274877910155,Post,6938,Tag
274877910155,Post,6946,Tag
274877910155,Post,9153,Tag
274877910155,Post,9263,Tag
274877910155,Post,12049,Tag
274877910155,Post,12346,Tag
274877910155,Post,13426,Tag
274877910155,Post,14682,Tag
343597387172,Post,459,Tag
343597387172,Post,2969,Tag
343597387172,Post,5171,Tag
206158433704,Post,459,Tag
206158433704,Post,2012,Tag
206158433719,Post,459,Tag
206158433719,Post,2969,Tag
137438956986,Post,459,Tag
137438956986,Post,3074,Tag
