start_id,start_vertex_type,end_id,end_vertex_type
343597383681,Post,111,Place
343597383682,Post,72,Place
343597383683,Post,72,Place
343597383684,Post,72,Place
343597383685,Post,72,Place
343597383686,Post,72,Place
343597383687,Post,72,Place
343597383688,Post,72,Place
343597383689,Post,72,Place
343597383690,Post,72,Place
343597383691,Post,72,Place
343597383692,Post,72,Place
343597383693,Post,72,Place
343597383694,Post,72,Place
343597383695,Post,72,Place
343597383696,Post,72,Place
343597383697,Post,72,Place
343597383698,Post,72,Place
343597383699,Post,24,Place
343597383700,Post,72,Place
343597383701,Post,72,Place
343597383702,Post,72,Place
343597383703,Post,72,Place
343597383704,Post,72,Place
343597383705,Post,72,Place
343597383706,Post,72,Place
343597383707,Post,72,Place
343597383708,Post,72,Place
343597383709,Post,72,Place
343597383710,Post,72,Place
343597383711,Post,72,Place
343597383712,Post,72,Place
343597383713,Post,72,Place
343597383714,Post,72,Place
343597383715,Post,72,Place
137438953508,Post,2,Place
343597383717,Post,100,Place
206158430246,Post,100,Place
206158430266,Post,100,Place
206158430267,Post,100,Place
206158430268,Post,100,Place
206158430269,Post,100,Place
206158430270,Post,100,Place
206158430271,Post,100,Place
206158430272,Post,100,Place
68719476801,Post,100,Place
137438953538,Post,100,Place
137438953539,Post,100,Place
137438953540,Post,100,Place
137438953541,Post,100,Place
137438953542,Post,100,Place
137438953543,Post,100,Place
137438953544,Post,100,Place
137438953545,Post,1,Place
137438953546,Post,100,Place
137438953547,Post,100,Place
137438953548,Post,100,Place
137438953549,Post,100,Place
137438953550,Post,100,Place
137438953551,Post,102,Place
137438953552,Post,100,Place
137438953553,Post,100,Place
137438953554,Post,100,Place
137438953555,Post,100,Place
68719476820,Post,100,Place
68719476821,Post,100,Place
68719476822,Post,100,Place
68719476823,Post,100,Place
68719476824,Post,100,Place
68719476825,Post,100,Place
68719476826,Post,100,Place
68719476827,Post,100,Place
68719476828,Post,100,Place
68719476829,Post,100,Place
68719476830,Post,100,Place
68719476831,Post,100,Place
68719476832,Post,100,Place
68719476833,Post,100,Place
68719476834,Post,100,Place
68719476835,Post,100,Place
68719476836,Post,100,Place
68719476837,Post,100,Place
68719476838,Post,100,Place
68719476839,Post,100,Place
206158430312,Post,100,Place
274877907049,Post,100,Place
274877907050,Post,100,Place
274877907051,Post,100,Place
274877907052,Post,100,Place
274877907053,Post,100,Place
274877907054,Post,100,Place
274877907055,Post,100,Place
274877907056,Post,100,Place
274877907057,Post,100,Place
274877907058,Post,100,Place
274877907059,Post,100,Place
274877907060,Post,100,Place
274877907061,Post,100,Place
274877907062,Post,100,Place
274877907063,Post,100,Place
274877907064,Post,100,Place
274877907065,Post,100,Place
274877907066,Post,100,Place
274877907067,Post,100,Place
274877907068,Post,100,Place
274877907069,Post,100,Place
274877907070,Post,100,Place
274877907071,Post,100,Place
274877907072,Post,100,Place
274877907073,Post,100,Place
206158430338,Post,100,Place
206158430339,Post,100,Place
206158430340,Post,100,Place
206158430341,Post,100,Place
206158430342,Post,100,Place
206158430343,Post,100,Place
206158430344,Post,100,Place
206158430345,Post,100,Place
206158430346,Post,100,Place
206158430347,Post,100,Place
206158430348,Post,100,Place
206158430349,Post,100,Place
206158430350,Post,100,Place
206158430351,Post,100,Place
206158430352,Post,100,Place
206158430353,Post,100,Place
343597383826,Post,57,Place
343597383827,Post,57,Place
343597383828,Post,57,Place
343597383829,Post,57,Place
343597383830,Post,57,Place
343597383831,Post,57,Place
343597383832,Post,57,Place
343597383833,Post,57,Place
343597383834,Post,57,Place
343597383835,Post,5,Place
343597383836,Post,57,Place
343597383837,Post,61,Place
343597383838,Post,57,Place
343597383839,Post,57,Place
343597383840,Post,57,Place
343597383841,Post,57,Place
343597383842,Post,57,Place
343597383843,Post,57,Place
343597383844,Post,57,Place
343597383845,Post,57,Place
343597383846,Post,57,Place
343597383847,Post,57,Place
343597383848,Post,57,Place
343597383849,Post,57,Place
343597383850,Post,57,Place
343597383851,Post,57,Place
343597383852,Post,57,Place
343597383853,Post,57,Place
343597383854,Post,57,Place
343597383855,Post,57,Place
343597383856,Post,57,Place
343597383857,Post,57,Place
343597383858,Post,57,Place
343597383859,Post,32,Place
343597383860,Post,57,Place
343597383861,Post,57,Place
343597383862,Post,57,Place
343597383863,Post,57,Place
343597383864,Post,57,Place
206158430393,Post,57,Place
206158430394,Post,57,Place
206158430395,Post,57,Place
206158430396,Post,57,Place
206158430397,Post,57,Place
206158430398,Post,57,Place
206158430399,Post,57,Place
206158430400,Post,57,Place
206158430401,Post,57,Place
206158430402,Post,57,Place
206158430403,Post,57,Place
206158430404,Post,57,Place
206158430405,Post,57,Place
206158430406,Post,57,Place
206158430407,Post,57,Place
206158430408,Post,57,Place
206158430436,Post,57,Place
206158430437,Post,57,Place
206158430438,Post,57,Place
206158430439,Post,57,Place
206158430440,Post,57,Place
206158430441,Post,57,Place
206158430442,Post,57,Place
206158430443,Post,57,Place
206158430444,Post,57,Place
206158430445,Post,80,Place
206158430446,Post,57,Place
206158430447,Post,57,Place
206158430448,Post,57,Place
206158430449,Post,57,Place
206158430450,Post,57,Place
68719476979,Post,57,Place
68719476980,Post,57,Place
68719476981,Post,57,Place
68719476982,Post,57,Place
68719476983,Post,57,Place
68719476984,Post,57,Place
68719476985,Post,57,Place
68719476986,Post,57,Place
137438953723,Post,57,Place
137438953724,Post,57,Place
206158430461,Post,26,Place
137438953733,Post,26,Place
137438953734,Post,26,Place
137438953735,Post,26,Place
137438953736,Post,26,Place
137438953737,Post,26,Place
137438953738,Post,26,Place
137438953739,Post,26,Place
137438953740,Post,26,Place
137438953741,Post,26,Place
137438953742,Post,26,Place
137438953743,Post,26,Place
137438953744,Post,26,Place
137438953745,Post,26,Place
137438953746,Post,26,Place
137438953747,Post,26,Place
137438953748,Post,26,Place
137438953749,Post,26,Place
137438953750,Post,26,Place
137438953751,Post,26,Place
274877907224,Post,26,Place
274877907225,Post,26,Place
274877907226,Post,26,Place
274877907227,Post,26,Place
274877907228,Post,26,Place
274877907229,Post,26,Place
274877907230,Post,26,Place
274877907231,Post,26,Place
274877907232,Post,26,Place
137438953761,Post,26,Place
137438953762,Post,26,Place
137438953763,Post,26,Place
137438953764,Post,86,Place
137438953765,Post,26,Place
274877907238,Post,26,Place
274877907239,Post,26,Place
274877907240,Post,26,Place
274877907241,Post,26,Place
274877907242,Post,26,Place
274877907243,Post,26,Place
274877907244,Post,26,Place
274877907245,Post,26,Place
274877907246,Post,26,Place
274877907247,Post,26,Place
274877907248,Post,26,Place
274877907249,Post,26,Place
274877907250,Post,26,Place
274877907251,Post,26,Place
206158430516,Post,26,Place
206158430517,Post,26,Place
206158430518,Post,26,Place
206158430519,Post,26,Place
206158430520,Post,26,Place
206158430521,Post,26,Place
206158430522,Post,26,Place
206158430523,Post,26,Place
206158430524,Post,26,Place
206158430525,Post,26,Place
206158430526,Post,26,Place
206158430527,Post,26,Place
206158430528,Post,26,Place
206158430529,Post,26,Place
206158430530,Post,26,Place
206158430531,Post,26,Place
206158430532,Post,26,Place
206158430533,Post,26,Place
137438953798,Post,26,Place
137438953799,Post,26,Place
137438953800,Post,68,Place
137438953801,Post,26,Place
137438953802,Post,26,Place
137438953803,Post,26,Place
343597384012,Post,26,Place
343597384013,Post,26,Place
343597384029,Post,85,Place
343597384030,Post,85,Place
343597384031,Post,85,Place
343597384032,Post,85,Place
343597384033,Post,85,Place
343597384034,Post,85,Place
68719477091,Post,85,Place
68719477092,Post,85,Place
68719477093,Post,85,Place
68719477094,Post,85,Place
68719477095,Post,85,Place
68719477096,Post,85,Place
68719477097,Post,85,Place
274877907306,Post,85,Place
274877907307,Post,85,Place
274877907308,Post,85,Place
274877907309,Post,85,Place
274877907310,Post,85,Place
274877907311,Post,85,Place
274877907312,Post,85,Place
274877907313,Post,85,Place
274877907314,Post,85,Place
274877907315,Post,85,Place
274877907316,Post,85,Place
274877907317,Post,85,Place
274877907318,Post,85,Place
274877907319,Post,85,Place
274877907320,Post,85,Place
274877907321,Post,85,Place
274877907322,Post,85,Place
274877907323,Post,85,Place
274877907324,Post,85,Place
274877907325,Post,85,Place
274877907326,Post,85,Place
274877907327,Post,85,Place
274877907328,Post,85,Place
274877907329,Post,85,Place
274877907330,Post,85,Place
274877907331,Post,85,Place
274877907332,Post,85,Place
274877907333,Post,85,Place
274877907334,Post,85,Place
274877907335,Post,85,Place
274877907336,Post,85,Place
274877907337,Post,85,Place
274877907338,Post,85,Place
274877907339,Post,85,Place
274877907340,Post,85,Place
343597384077,Post,85,Place
343597384078,Post,85,Place
137438953871,Post,85,Place
