start_id,start_vertex_type,end_id,end_vertex_type
1,Tag,350,Tagclass
2,Tag,212,Tagclass
3,Tag,99,Tagclass
4,Tag,337,Tagclass
5,Tag,337,Tagclass
6,Tag,337,Tagclass
7,Tag,194,Tagclass
8,Tag,83,Tagclass
9,Tag,89,Tagclass
10,Tag,212,Tagclass
11,Tag,58,Tagclass
12,Tag,95,Tagclass
13,Tag,60,Tagclass
14,Tag,60,Tagclass
15,Tag,60,Tagclass
16,Tag,350,Tagclass
17,Tag,60,Tagclass
18,Tag,60,Tagclass
19,Tag,60,Tagclass
20,Tag,60,Tagclass
21,Tag,60,Tagclass
22,Tag,60,Tagclass
23,Tag,58,Tagclass
24,Tag,75,Tagclass
25,Tag,116,Tagclass
26,Tag,58,Tagclass
27,Tag,212,Tagclass
28,Tag,60,Tagclass
29,Tag,60,Tagclass
30,Tag,60,Tagclass
31,Tag,60,Tagclass
32,Tag,60,Tagclass
33,Tag,38,Tagclass
34,Tag,350,Tagclass
35,Tag,60,Tagclass
36,Tag,60,Tagclass
37,Tag,60,Tagclass
38,Tag,60,Tagclass
39,Tag,350,Tagclass
40,Tag,75,Tagclass
41,Tag,75,Tagclass
42,Tag,58,Tagclass
43,Tag,116,Tagclass
44,Tag,60,Tagclass
45,Tag,60,Tagclass
46,Tag,60,Tagclass
47,Tag,58,Tagclass
48,Tag,60,Tagclass
49,Tag,60,Tagclass
50,Tag,60,Tagclass
51,Tag,58,Tagclass
52,Tag,75,Tagclass
53,Tag,60,Tagclass
54,Tag,60,Tagclass
55,Tag,60,Tagclass
56,Tag,95,Tagclass
57,Tag,60,Tagclass
58,Tag,60,Tagclass
59,Tag,350,Tagclass
60,Tag,212,Tagclass
61,Tag,60,Tagclass
62,Tag,350,Tagclass
63,Tag,60,Tagclass
64,Tag,350,Tagclass
65,Tag,149,Tagclass
66,Tag,116,Tagclass
67,Tag,25,Tagclass
68,Tag,212,Tagclass
69,Tag,60,Tagclass
70,Tag,350,Tagclass
71,Tag,60,Tagclass
72,Tag,212,Tagclass
73,Tag,212,Tagclass
74,Tag,25,Tagclass
75,Tag,350,Tagclass
76,Tag,38,Tagclass
77,Tag,38,Tagclass
78,Tag,350,Tagclass
79,Tag,60,Tagclass
80,Tag,116,Tagclass
81,Tag,212,Tagclass
82,Tag,60,Tagclass
83,Tag,25,Tagclass
84,Tag,212,Tagclass
85,Tag,116,Tagclass
86,Tag,60,Tagclass
87,Tag,60,Tagclass
88,Tag,212,Tagclass
89,Tag,60,Tagclass
90,Tag,116,Tagclass
91,Tag,116,Tagclass
92,Tag,192,Tagclass
93,Tag,212,Tagclass
94,Tag,60,Tagclass
95,Tag,149,Tagclass
96,Tag,60,Tagclass
97,Tag,60,Tagclass
98,Tag,60,Tagclass
99,Tag,212,Tagclass
100,Tag,25,Tagclass
101,Tag,212,Tagclass
102,Tag,60,Tagclass
103,Tag,25,Tagclass
104,Tag,116,Tagclass
105,Tag,212,Tagclass
106,Tag,212,Tagclass
107,Tag,212,Tagclass
108,Tag,212,Tagclass
109,Tag,60,Tagclass
110,Tag,60,Tagclass
111,Tag,212,Tagclass
112,Tag,89,Tagclass
113,Tag,350,Tagclass
114,Tag,350,Tagclass
115,Tag,212,Tagclass
116,Tag,60,Tagclass
117,Tag,25,Tagclass
118,Tag,212,Tagclass
119,Tag,149,Tagclass
120,Tag,83,Tagclass
121,Tag,350,Tagclass
122,Tag,60,Tagclass
123,Tag,97,Tagclass
124,Tag,25,Tagclass
125,Tag,60,Tagclass
126,Tag,350,Tagclass
127,Tag,320,Tagclass
128,Tag,96,Tagclass
129,Tag,60,Tagclass
130,Tag,350,Tagclass
131,Tag,350,Tagclass
132,Tag,350,Tagclass
133,Tag,212,Tagclass
134,Tag,350,Tagclass
135,Tag,60,Tagclass
136,Tag,25,Tagclass
137,Tag,60,Tagclass
138,Tag,212,Tagclass
139,Tag,58,Tagclass
140,Tag,212,Tagclass
141,Tag,350,Tagclass
142,Tag,212,Tagclass
143,Tag,212,Tagclass
144,Tag,212,Tagclass
145,Tag,337,Tagclass
146,Tag,337,Tagclass
147,Tag,212,Tagclass
148,Tag,337,Tagclass
149,Tag,212,Tagclass
150,Tag,337,Tagclass
151,Tag,212,Tagclass
152,Tag,60,Tagclass
153,Tag,337,Tagclass
154,Tag,212,Tagclass
155,Tag,212,Tagclass
156,Tag,212,Tagclass
157,Tag,83,Tagclass
158,Tag,212,Tagclass
159,Tag,212,Tagclass
160,Tag,337,Tagclass
161,Tag,337,Tagclass
162,Tag,60,Tagclass
163,Tag,337,Tagclass
164,Tag,337,Tagclass
165,Tag,38,Tagclass
166,Tag,60,Tagclass
167,Tag,60,Tagclass
168,Tag,212,Tagclass
169,Tag,337,Tagclass
170,Tag,212,Tagclass
171,Tag,337,Tagclass
172,Tag,38,Tagclass
173,Tag,60,Tagclass
174,Tag,337,Tagclass
175,Tag,280,Tagclass
176,Tag,337,Tagclass
177,Tag,337,Tagclass
178,Tag,212,Tagclass
179,Tag,60,Tagclass
180,Tag,38,Tagclass
181,Tag,116,Tagclass
182,Tag,337,Tagclass
183,Tag,83,Tagclass
184,Tag,337,Tagclass
185,Tag,60,Tagclass
186,Tag,212,Tagclass
187,Tag,60,Tagclass
188,Tag,227,Tagclass
189,Tag,337,Tagclass
190,Tag,38,Tagclass
191,Tag,212,Tagclass
192,Tag,212,Tagclass
193,Tag,280,Tagclass
194,Tag,212,Tagclass
195,Tag,212,Tagclass
196,Tag,350,Tagclass
197,Tag,60,Tagclass
198,Tag,60,Tagclass
199,Tag,251,Tagclass
200,Tag,350,Tagclass
201,Tag,60,Tagclass
202,Tag,212,Tagclass
203,Tag,60,Tagclass
204,Tag,60,Tagclass
205,Tag,4,Tagclass
206,Tag,337,Tagclass
207,Tag,337,Tagclass
208,Tag,212,Tagclass
209,Tag,60,Tagclass
210,Tag,337,Tagclass
211,Tag,60,Tagclass
212,Tag,60,Tagclass
213,Tag,212,Tagclass
214,Tag,60,Tagclass
215,Tag,116,Tagclass
216,Tag,337,Tagclass
217,Tag,231,Tagclass
218,Tag,38,Tagclass
219,Tag,116,Tagclass
220,Tag,212,Tagclass
221,Tag,60,Tagclass
222,Tag,337,Tagclass
223,Tag,337,Tagclass
224,Tag,98,Tagclass
225,Tag,38,Tagclass
226,Tag,4,Tagclass
227,Tag,83,Tagclass
228,Tag,251,Tagclass
229,Tag,320,Tagclass
230,Tag,60,Tagclass
231,Tag,89,Tagclass
232,Tag,60,Tagclass
233,Tag,60,Tagclass
234,Tag,60,Tagclass
235,Tag,60,Tagclass
236,Tag,212,Tagclass
237,Tag,116,Tagclass
238,Tag,60,Tagclass
239,Tag,337,Tagclass
240,Tag,337,Tagclass
241,Tag,60,Tagclass
242,Tag,212,Tagclass
243,Tag,89,Tagclass
244,Tag,350,Tagclass
245,Tag,60,Tagclass
246,Tag,60,Tagclass
247,Tag,75,Tagclass
248,Tag,350,Tagclass
249,Tag,75,Tagclass
250,Tag,60,Tagclass
251,Tag,75,Tagclass
252,Tag,60,Tagclass
253,Tag,337,Tagclass
254,Tag,116,Tagclass
255,Tag,58,Tagclass
256,Tag,116,Tagclass
257,Tag,116,Tagclass
258,Tag,212,Tagclass
259,Tag,75,Tagclass
260,Tag,212,Tagclass
261,Tag,337,Tagclass
262,Tag,212,Tagclass
263,Tag,60,Tagclass
264,Tag,95,Tagclass
265,Tag,60,Tagclass
266,Tag,60,Tagclass
267,Tag,89,Tagclass
268,Tag,75,Tagclass
269,Tag,60,Tagclass
270,Tag,99,Tagclass
271,Tag,212,Tagclass
272,Tag,60,Tagclass
273,Tag,75,Tagclass
274,Tag,350,Tagclass
275,Tag,116,Tagclass
276,Tag,337,Tagclass
277,Tag,60,Tagclass
278,Tag,116,Tagclass
279,Tag,116,Tagclass
280,Tag,116,Tagclass
281,Tag,350,Tagclass
282,Tag,116,Tagclass
283,Tag,350,Tagclass
284,Tag,116,Tagclass
285,Tag,116,Tagclass
286,Tag,116,Tagclass
287,Tag,116,Tagclass
288,Tag,212,Tagclass
289,Tag,350,Tagclass
290,Tag,14,Tagclass
291,Tag,149,Tagclass
292,Tag,116,Tagclass
293,Tag,149,Tagclass
294,Tag,212,Tagclass
295,Tag,350,Tagclass
296,Tag,212,Tagclass
297,Tag,116,Tagclass
298,Tag,116,Tagclass
299,Tag,116,Tagclass
300,Tag,116,Tagclass
301,Tag,116,Tagclass
302,Tag,212,Tagclass
303,Tag,116,Tagclass
304,Tag,212,Tagclass
305,Tag,116,Tagclass
306,Tag,350,Tagclass
307,Tag,89,Tagclass
308,Tag,149,Tagclass
309,Tag,212,Tagclass
310,Tag,212,Tagclass
311,Tag,116,Tagclass
312,Tag,212,Tagclass
313,Tag,38,Tagclass
314,Tag,212,Tagclass
315,Tag,116,Tagclass
316,Tag,212,Tagclass
317,Tag,212,Tagclass
318,Tag,97,Tagclass
319,Tag,149,Tagclass
320,Tag,60,Tagclass
321,Tag,60,Tagclass
322,Tag,212,Tagclass
323,Tag,14,Tagclass
324,Tag,213,Tagclass
325,Tag,116,Tagclass
326,Tag,350,Tagclass
327,Tag,350,Tagclass
328,Tag,116,Tagclass
329,Tag,212,Tagclass
330,Tag,212,Tagclass
331,Tag,350,Tagclass
332,Tag,212,Tagclass
333,Tag,212,Tagclass
334,Tag,212,Tagclass
335,Tag,212,Tagclass
336,Tag,350,Tagclass
337,Tag,89,Tagclass
338,Tag,149,Tagclass
339,Tag,83,Tagclass
340,Tag,212,Tagclass
341,Tag,116,Tagclass
342,Tag,350,Tagclass
343,Tag,350,Tagclass
344,Tag,116,Tagclass
345,Tag,97,Tagclass
346,Tag,350,Tagclass
347,Tag,212,Tagclass
348,Tag,116,Tagclass
349,Tag,212,Tagclass
350,Tag,14,Tagclass
351,Tag,350,Tagclass
352,Tag,60,Tagclass
353,Tag,14,Tagclass
354,Tag,212,Tagclass
355,Tag,58,Tagclass
356,Tag,14,Tagclass
357,Tag,116,Tagclass
358,Tag,212,Tagclass
359,Tag,149,Tagclass
360,Tag,280,Tagclass
361,Tag,116,Tagclass
362,Tag,212,Tagclass
363,Tag,212,Tagclass
364,Tag,212,Tagclass
365,Tag,149,Tagclass
366,Tag,14,Tagclass
367,Tag,212,Tagclass
368,Tag,331,Tagclass
369,Tag,350,Tagclass
370,Tag,97,Tagclass
371,Tag,14,Tagclass
372,Tag,14,Tagclass
373,Tag,212,Tagclass
374,Tag,116,Tagclass
375,Tag,98,Tagclass
376,Tag,212,Tagclass
377,Tag,212,Tagclass
378,Tag,14,Tagclass
379,Tag,14,Tagclass
380,Tag,212,Tagclass
381,Tag,212,Tagclass
382,Tag,212,Tagclass
383,Tag,212,Tagclass
384,Tag,149,Tagclass
385,Tag,350,Tagclass
386,Tag,60,Tagclass
387,Tag,60,Tagclass
388,Tag,97,Tagclass
389,Tag,212,Tagclass
390,Tag,14,Tagclass
391,Tag,212,Tagclass
392,Tag,212,Tagclass
393,Tag,212,Tagclass
394,Tag,212,Tagclass
395,Tag,116,Tagclass
396,Tag,14,Tagclass
397,Tag,350,Tagclass
398,Tag,89,Tagclass
399,Tag,116,Tagclass
400,Tag,98,Tagclass
401,Tag,212,Tagclass
402,Tag,44,Tagclass
403,Tag,212,Tagclass
404,Tag,212,Tagclass
405,Tag,212,Tagclass
406,Tag,60,Tagclass
407,Tag,116,Tagclass
408,Tag,116,Tagclass
409,Tag,58,Tagclass
410,Tag,60,Tagclass
411,Tag,60,Tagclass
412,Tag,89,Tagclass
413,Tag,60,Tagclass
414,Tag,60,Tagclass
415,Tag,212,Tagclass
416,Tag,350,Tagclass
417,Tag,58,Tagclass
418,Tag,58,Tagclass
419,Tag,83,Tagclass
420,Tag,350,Tagclass
421,Tag,350,Tagclass
422,Tag,212,Tagclass
423,Tag,350,Tagclass
424,Tag,337,Tagclass
425,Tag,212,Tagclass
426,Tag,212,Tagclass
427,Tag,201,Tagclass
428,Tag,350,Tagclass
429,Tag,251,Tagclass
430,Tag,60,Tagclass
431,Tag,337,Tagclass
432,Tag,213,Tagclass
433,Tag,337,Tagclass
434,Tag,58,Tagclass
435,Tag,337,Tagclass
436,Tag,201,Tagclass
437,Tag,355,Tagclass
438,Tag,212,Tagclass
439,Tag,337,Tagclass
440,Tag,60,Tagclass
441,Tag,201,Tagclass
442,Tag,116,Tagclass
443,Tag,89,Tagclass
444,Tag,142,Tagclass
445,Tag,116,Tagclass
446,Tag,58,Tagclass
447,Tag,97,Tagclass
448,Tag,60,Tagclass
449,Tag,58,Tagclass
450,Tag,99,Tagclass
451,Tag,60,Tagclass
452,Tag,280,Tagclass
453,Tag,60,Tagclass
454,Tag,83,Tagclass
455,Tag,60,Tagclass
456,Tag,60,Tagclass
457,Tag,99,Tagclass
458,Tag,60,Tagclass
459,Tag,350,Tagclass
460,Tag,116,Tagclass
461,Tag,58,Tagclass
462,Tag,116,Tagclass
463,Tag,212,Tagclass
464,Tag,212,Tagclass
465,Tag,212,Tagclass
466,Tag,212,Tagclass
467,Tag,89,Tagclass
468,Tag,89,Tagclass
469,Tag,280,Tagclass
470,Tag,212,Tagclass
471,Tag,89,Tagclass
472,Tag,116,Tagclass
473,Tag,60,Tagclass
474,Tag,60,Tagclass
475,Tag,337,Tagclass
476,Tag,60,Tagclass
477,Tag,60,Tagclass
478,Tag,89,Tagclass
479,Tag,60,Tagclass
480,Tag,60,Tagclass
481,Tag,60,Tagclass
482,Tag,116,Tagclass
483,Tag,60,Tagclass
484,Tag,350,Tagclass
485,Tag,60,Tagclass
486,Tag,89,Tagclass
487,Tag,350,Tagclass
488,Tag,60,Tagclass
489,Tag,60,Tagclass
490,Tag,60,Tagclass
491,Tag,60,Tagclass
492,Tag,60,Tagclass
493,Tag,337,Tagclass
494,Tag,83,Tagclass
495,Tag,212,Tagclass
496,Tag,60,Tagclass
497,Tag,60,Tagclass
