start_id,start_vertex_type,end_id,end_vertex_type
350,Tagclass,212,Tagclass
212,Tagclass,240,Tagclass
240,Tagclass,1,Tagclass
99,Tagclass,212,Tagclass
337,Tagclass,156,Tagclass
156,Tagclass,212,Tagclass
194,Tagclass,110,Tagclass
110,Tagclass,212,Tagclass
83,Tagclass,212,Tagclass
89,Tagclass,251,Tagclass
251,Tagclass,212,Tagclass
58,Tagclass,96,Tagclass
96,Tagclass,212,Tagclass
95,Tagclass,212,Tagclass
60,Tagclass,150,Tagclass
150,Tagclass,212,Tagclass
75,Tagclass,150,Tagclass
116,Tagclass,251,Tagclass
38,Tagclass,150,Tagclass
149,Tagclass,96,Tagclass
25,Tagclass,150,Tagclass
192,Tagclass,150,Tagclass
97,Tagclass,251,Tagclass
320,Tagclass,150,Tagclass
280,Tagclass,212,Tagclass
227,Tagclass,212,Tagclass
4,Tagclass,212,Tagclass
231,Tagclass,150,Tagclass
98,Tagclass,251,Tagclass
14,Tagclass,150,Tagclass
213,Tagclass,212,Tagclass
331,Tagclass,96,Tagclass
44,Tagclass,150,Tagclass
201,Tagclass,251,Tagclass
355,Tagclass,150,Tagclass
142,Tagclass,150,Tagclass
311,Tagclass,150,Tagclass
333,Tagclass,110,Tagclass
356,Tagclass,96,Tagclass
220,Tagclass,96,Tagclass
62,Tagclass,302,Tagclass
302,Tagclass,240,Tagclass
73,Tagclass,150,Tagclass
105,Tagclass,48,Tagclass
48,Tagclass,150,Tagclass
153,Tagclass,113,Tagclass
113,Tagclass,150,Tagclass
348,Tagclass,96,Tagclass
174,Tagclass,212,Tagclass
296,Tagclass,212,Tagclass
288,Tagclass,212,Tagclass
168,Tagclass,96,Tagclass
146,Tagclass,189,Tagclass
189,Tagclass,1,Tagclass
340,Tagclass,212,Tagclass
78,Tagclass,212,Tagclass
47,Tagclass,201,Tagclass
343,Tagclass,124,Tagclass
124,Tagclass,189,Tagclass
183,Tagclass,124,Tagclass
181,Tagclass,124,Tagclass
63,Tagclass,319,Tagclass
319,Tagclass,304,Tagclass
304,Tagclass,1,Tagclass
303,Tagclass,296,Tagclass
234,Tagclass,181,Tagclass
42,Tagclass,302,Tagclass
244,Tagclass,302,Tagclass
243,Tagclass,68,Tagclass
68,Tagclass,212,Tagclass
