start_id,start_vertex_type,end_id,end_vertex_type
1,Organisation,60,Place
2,Organisation,60,Place
3,Organisation,60,Place
4,Organisation,60,Place
5,Organisation,60,Place
6,Organisation,60,Place
7,Organisation,60,Place
8,Organisation,61,Place
9,Organisation,61,Place
10,Organisation,61,Place
11,Organisation,61,Place
12,Organisation,61,Place
13,Organisation,3,Place
14,Organisation,3,Place
15,Organisation,3,Place
16,Organisation,3,Place
17,Organisation,3,Place
18,Organisation,3,Place
19,Organisation,3,Place
20,Organisation,3,Place
21,Organisation,3,Place
22,Organisation,62,Place
23,Organisation,62,Place
24,Organisation,62,Place
25,Organisation,62,Place
26,Organisation,62,Place
27,Organisation,62,Place
28,Organisation,62,Place
29,Organisation,62,Place
30,Organisation,62,Place
31,Organisation,62,Place
32,Organisation,62,Place
33,Organisation,62,Place
34,Organisation,62,Place
35,Organisation,63,Place
36,Organisation,63,Place
37,Organisation,63,Place
38,Organisation,63,Place
39,Organisation,63,Place
40,Organisation,63,Place
41,Organisation,63,Place
42,Organisation,63,Place
43,Organisation,63,Place
44,Organisation,63,Place
45,Organisation,63,Place
46,Organisation,63,Place
47,Organisation,63,Place
48,Organisation,63,Place
49,Organisation,63,Place
50,Organisation,63,Place
51,Organisation,63,Place
52,Organisation,63,Place
53,Organisation,63,Place
54,Organisation,63,Place
55,Organisation,63,Place
56,Organisation,63,Place
57,Organisation,63,Place
58,Organisation,63,Place
59,Organisation,63,Place
60,Organisation,63,Place
61,Organisation,63,Place
62,Organisation,63,Place
63,Organisation,63,Place
64,Organisation,63,Place
65,Organisation,63,Place
66,Organisation,63,Place
67,Organisation,63,Place
68,Organisation,63,Place
69,Organisation,63,Place
70,Organisation,63,Place
71,Organisation,63,Place
72,Organisation,63,Place
73,Organisation,63,Place
74,Organisation,63,Place
75,Organisation,63,Place
76,Organisation,63,Place
77,Organisation,63,Place
78,Organisation,63,Place
79,Organisation,63,Place
80,Organisation,4,Place
81,Organisation,4,Place
82,Organisation,4,Place
83,Organisation,4,Place
84,Organisation,4,Place
85,Organisation,4,Place
86,Organisation,4,Place
87,Organisation,4,Place
88,Organisation,4,Place
89,Organisation,4,Place
90,Organisation,4,Place
91,Organisation,4,Place
92,Organisation,4,Place
93,Organisation,4,Place
94,Organisation,4,Place
95,Organisation,4,Place
96,Organisation,4,Place
97,Organisation,4,Place
98,Organisation,4,Place
99,Organisation,4,Place
100,Organisation,4,Place
101,Organisation,5,Place
102,Organisation,5,Place
103,Organisation,5,Place
104,Organisation,5,Place
105,Organisation,5,Place
106,Organisation,5,Place
107,Organisation,64,Place
108,Organisation,64,Place
109,Organisation,64,Place
110,Organisation,64,Place
111,Organisation,65,Place
112,Organisation,65,Place
113,Organisation,65,Place
114,Organisation,65,Place
115,Organisation,65,Place
116,Organisation,65,Place
117,Organisation,65,Place
118,Organisation,65,Place
119,Organisation,65,Place
120,Organisation,65,Place
121,Organisation,65,Place
122,Organisation,65,Place
123,Organisation,6,Place
124,Organisation,6,Place
125,Organisation,6,Place
126,Organisation,6,Place
127,Organisation,6,Place
128,Organisation,6,Place
129,Organisation,6,Place
130,Organisation,7,Place
131,Organisation,7,Place
132,Organisation,7,Place
133,Organisation,7,Place
134,Organisation,7,Place
135,Organisation,7,Place
136,Organisation,50,Place
137,Organisation,50,Place
138,Organisation,50,Place
139,Organisation,50,Place
140,Organisation,50,Place
141,Organisation,50,Place
142,Organisation,50,Place
143,Organisation,50,Place
144,Organisation,50,Place
145,Organisation,50,Place
146,Organisation,50,Place
147,Organisation,50,Place
148,Organisation,50,Place
149,Organisation,50,Place
150,Organisation,50,Place
151,Organisation,50,Place
152,Organisation,50,Place
153,Organisation,50,Place
154,Organisation,50,Place
155,Organisation,50,Place
156,Organisation,50,Place
157,Organisation,50,Place
158,Organisation,50,Place
159,Organisation,50,Place
160,Organisation,50,Place
161,Organisation,50,Place
162,Organisation,50,Place
163,Organisation,50,Place
164,Organisation,50,Place
165,Organisation,50,Place
166,Organisation,50,Place
167,Organisation,50,Place
168,Organisation,50,Place
169,Organisation,50,Place
170,Organisation,50,Place
171,Organisation,50,Place
172,Organisation,50,Place
173,Organisation,50,Place
174,Organisation,50,Place
175,Organisation,50,Place
176,Organisation,50,Place
177,Organisation,50,Place
178,Organisation,50,Place
179,Organisation,50,Place
180,Organisation,50,Place
181,Organisation,50,Place
182,Organisation,50,Place
183,Organisation,50,Place
184,Organisation,50,Place
185,Organisation,50,Place
186,Organisation,50,Place
187,Organisation,8,Place
188,Organisation,8,Place
189,Organisation,8,Place
190,Organisation,8,Place
191,Organisation,8,Place
192,Organisation,8,Place
193,Organisation,8,Place
194,Organisation,8,Place
195,Organisation,8,Place
196,Organisation,68,Place
197,Organisation,68,Place
198,Organisation,68,Place
199,Organisation,68,Place
200,Organisation,68,Place
201,Organisation,68,Place
202,Organisation,68,Place
203,Organisation,68,Place
204,Organisation,68,Place
205,Organisation,68,Place
206,Organisation,69,Place
207,Organisation,69,Place
208,Organisation,69,Place
209,Organisation,69,Place
210,Organisation,69,Place
211,Organisation,67,Place
212,Organisation,67,Place
213,Organisation,67,Place
214,Organisation,67,Place
215,Organisation,67,Place
216,Organisation,67,Place
217,Organisation,67,Place
218,Organisation,67,Place
219,Organisation,67,Place
220,Organisation,67,Place
221,Organisation,67,Place
222,Organisation,67,Place
223,Organisation,67,Place
224,Organisation,67,Place
225,Organisation,67,Place
226,Organisation,67,Place
227,Organisation,67,Place
228,Organisation,67,Place
229,Organisation,67,Place
230,Organisation,67,Place
231,Organisation,67,Place
232,Organisation,67,Place
233,Organisation,67,Place
234,Organisation,67,Place
235,Organisation,67,Place
236,Organisation,67,Place
237,Organisation,67,Place
238,Organisation,67,Place
239,Organisation,67,Place
240,Organisation,67,Place
241,Organisation,67,Place
242,Organisation,67,Place
243,Organisation,67,Place
244,Organisation,67,Place
245,Organisation,67,Place
246,Organisation,67,Place
247,Organisation,67,Place
248,Organisation,67,Place
249,Organisation,67,Place
250,Organisation,9,Place
251,Organisation,9,Place
252,Organisation,9,Place
253,Organisation,70,Place
254,Organisation,70,Place
255,Organisation,70,Place
256,Organisation,70,Place
257,Organisation,70,Place
258,Organisation,70,Place
259,Organisation,70,Place
260,Organisation,70,Place
261,Organisation,70,Place
262,Organisation,71,Place
263,Organisation,71,Place
264,Organisation,71,Place
265,Organisation,71,Place
266,Organisation,71,Place
267,Organisation,71,Place
268,Organisation,71,Place
269,Organisation,71,Place
270,Organisation,71,Place
271,Organisation,71,Place
272,Organisation,71,Place
273,Organisation,71,Place
274,Organisation,71,Place
275,Organisation,71,Place
276,Organisation,71,Place
277,Organisation,71,Place
278,Organisation,71,Place
279,Organisation,71,Place
280,Organisation,71,Place
281,Organisation,71,Place
282,Organisation,71,Place
283,Organisation,71,Place
284,Organisation,71,Place
285,Organisation,71,Place
286,Organisation,71,Place
287,Organisation,71,Place
288,Organisation,71,Place
289,Organisation,71,Place
290,Organisation,71,Place
291,Organisation,71,Place
292,Organisation,71,Place
293,Organisation,10,Place
294,Organisation,10,Place
295,Organisation,10,Place
296,Organisation,10,Place
297,Organisation,72,Place
298,Organisation,72,Place
299,Organisation,72,Place
300,Organisation,73,Place
301,Organisation,73,Place
302,Organisation,73,Place
303,Organisation,73,Place
304,Organisation,73,Place
305,Organisation,73,Place
306,Organisation,73,Place
307,Organisation,73,Place
308,Organisation,73,Place
309,Organisation,74,Place
310,Organisation,74,Place
311,Organisation,74,Place
312,Organisation,74,Place
313,Organisation,74,Place
314,Organisation,74,Place
315,Organisation,74,Place
316,Organisation,74,Place
317,Organisation,74,Place
318,Organisation,74,Place
319,Organisation,74,Place
320,Organisation,74,Place
321,Organisation,74,Place
322,Organisation,74,Place
323,Organisation,74,Place
324,Organisation,74,Place
325,Organisation,74,Place
326,Organisation,74,Place
327,Organisation,74,Place
328,Organisation,74,Place
329,Organisation,74,Place
330,Organisation,74,Place
331,Organisation,74,Place
332,Organisation,74,Place
333,Organisation,11,Place
334,Organisation,11,Place
335,Organisation,11,Place
336,Organisation,11,Place
337,Organisation,11,Place
338,Organisation,11,Place
339,Organisation,11,Place
340,Organisation,11,Place
341,Organisation,11,Place
342,Organisation,11,Place
343,Organisation,11,Place
344,Organisation,11,Place
345,Organisation,11,Place
346,Organisation,12,Place
347,Organisation,12,Place
348,Organisation,75,Place
349,Organisation,75,Place
350,Organisation,75,Place
351,Organisation,75,Place
352,Organisation,75,Place
353,Organisation,75,Place
354,Organisation,75,Place
355,Organisation,75,Place
356,Organisation,75,Place
357,Organisation,75,Place
358,Organisation,75,Place
359,Organisation,75,Place
360,Organisation,75,Place
361,Organisation,75,Place
362,Organisation,75,Place
363,Organisation,75,Place
364,Organisation,75,Place
365,Organisation,75,Place
366,Organisation,75,Place
367,Organisation,75,Place
368,Organisation,75,Place
369,Organisation,75,Place
370,Organisation,75,Place
371,Organisation,76,Place
372,Organisation,76,Place
373,Organisation,76,Place
374,Organisation,76,Place
375,Organisation,76,Place
376,Organisation,76,Place
377,Organisation,76,Place
378,Organisation,76,Place
379,Organisation,76,Place
380,Organisation,76,Place
381,Organisation,76,Place
382,Organisation,76,Place
383,Organisation,76,Place
384,Organisation,76,Place
385,Organisation,76,Place
386,Organisation,76,Place
387,Organisation,76,Place
388,Organisation,76,Place
389,Organisation,76,Place
390,Organisation,76,Place
391,Organisation,76,Place
392,Organisation,76,Place
393,Organisation,76,Place
394,Organisation,76,Place
395,Organisation,14,Place
396,Organisation,14,Place
397,Organisation,14,Place
398,Organisation,14,Place
399,Organisation,14,Place
400,Organisation,77,Place
401,Organisation,77,Place
402,Organisation,15,Place
403,Organisation,15,Place
404,Organisation,15,Place
405,Organisation,15,Place
406,Organisation,15,Place
407,Organisation,15,Place
408,Organisation,15,Place
409,Organisation,15,Place
410,Organisation,15,Place
411,Organisation,15,Place
412,Organisation,78,Place
413,Organisation,78,Place
414,Organisation,78,Place
415,Organisation,78,Place
416,Organisation,78,Place
417,Organisation,78,Place
418,Organisation,78,Place
419,Organisation,78,Place
420,Organisation,78,Place
421,Organisation,78,Place
422,Organisation,78,Place
423,Organisation,78,Place
424,Organisation,78,Place
425,Organisation,78,Place
426,Organisation,78,Place
427,Organisation,78,Place
428,Organisation,78,Place
429,Organisation,78,Place
430,Organisation,78,Place
431,Organisation,78,Place
432,Organisation,78,Place
433,Organisation,78,Place
434,Organisation,78,Place
435,Organisation,78,Place
436,Organisation,78,Place
437,Organisation,78,Place
438,Organisation,78,Place
439,Organisation,78,Place
440,Organisation,78,Place
441,Organisation,78,Place
442,Organisation,78,Place
443,Organisation,51,Place
444,Organisation,51,Place
445,Organisation,51,Place
446,Organisation,51,Place
447,Organisation,51,Place
448,Organisation,51,Place
449,Organisation,51,Place
450,Organisation,51,Place
451,Organisation,51,Place
452,Organisation,51,Place
453,Organisation,51,Place
454,Organisation,51,Place
455,Organisation,51,Place
456,Organisation,51,Place
457,Organisation,51,Place
458,Organisation,51,Place
459,Organisation,51,Place
460,Organisation,51,Place
461,Organisation,51,Place
462,Organisation,51,Place
463,Organisation,51,Place
464,Organisation,51,Place
465,Organisation,51,Place
466,Organisation,51,Place
467,Organisation,51,Place
468,Organisation,51,Place
469,Organisation,51,Place
470,Organisation,51,Place
471,Organisation,51,Place
472,Organisation,51,Place
473,Organisation,51,Place
474,Organisation,51,Place
475,Organisation,51,Place
476,Organisation,51,Place
477,Organisation,51,Place
478,Organisation,51,Place
479,Organisation,51,Place
480,Organisation,51,Place
481,Organisation,51,Place
482,Organisation,51,Place
483,Organisation,51,Place
484,Organisation,51,Place
485,Organisation,51,Place
486,Organisation,51,Place
487,Organisation,51,Place
488,Organisation,51,Place
489,Organisation,51,Place
490,Organisation,51,Place
491,Organisation,79,Place
492,Organisation,79,Place
493,Organisation,79,Place
494,Organisation,79,Place
495,Organisation,79,Place
496,Organisation,79,Place
497,Organisation,79,Place
498,Organisation,79,Place
499,Organisation,79,Place
500,Organisation,79,Place
501,Organisation,79,Place
502,Organisation,79,Place
503,Organisation,79,Place
504,Organisation,79,Place
505,Organisation,79,Place
506,Organisation,79,Place
507,Organisation,79,Place
508,Organisation,79,Place
509,Organisation,79,Place
510,Organisation,79,Place
511,Organisation,79,Place
512,Organisation,79,Place
513,Organisation,79,Place
514,Organisation,79,Place
515,Organisation,79,Place
516,Organisation,79,Place
517,Organisation,79,Place
518,Organisation,79,Place
519,Organisation,16,Place
520,Organisation,16,Place
521,Organisation,16,Place
522,Organisation,16,Place
523,Organisation,16,Place
524,Organisation,17,Place
525,Organisation,17,Place
526,Organisation,17,Place
527,Organisation,17,Place
528,Organisation,17,Place
529,Organisation,17,Place
530,Organisation,17,Place
531,Organisation,17,Place
532,Organisation,17,Place
533,Organisation,80,Place
534,Organisation,80,Place
535,Organisation,80,Place
536,Organisation,80,Place
537,Organisation,80,Place
538,Organisation,80,Place
539,Organisation,1,Place
540,Organisation,1,Place
541,Organisation,1,Place
542,Organisation,1,Place
543,Organisation,1,Place
544,Organisation,1,Place
545,Organisation,1,Place
546,Organisation,1,Place
547,Organisation,1,Place
548,Organisation,1,Place
549,Organisation,1,Place
550,Organisation,1,Place
551,Organisation,1,Place
552,Organisation,1,Place
553,Organisation,1,Place
554,Organisation,1,Place
555,Organisation,1,Place
556,Organisation,52,Place
557,Organisation,52,Place
558,Organisation,52,Place
559,Organisation,52,Place
560,Organisation,52,Place
561,Organisation,52,Place
562,Organisation,52,Place
563,Organisation,52,Place
564,Organisation,52,Place
565,Organisation,52,Place
566,Organisation,52,Place
567,Organisation,52,Place
568,Organisation,52,Place
569,Organisation,52,Place
570,Organisation,52,Place
571,Organisation,52,Place
572,Organisation,52,Place
573,Organisation,52,Place
574,Organisation,52,Place
575,Organisation,52,Place
576,Organisation,52,Place
577,Organisation,52,Place
578,Organisation,52,Place
579,Organisation,52,Place
580,Organisation,52,Place
581,Organisation,52,Place
582,Organisation,52,Place
583,Organisation,52,Place
584,Organisation,52,Place
585,Organisation,52,Place
586,Organisation,52,Place
587,Organisation,52,Place
588,Organisation,52,Place
589,Organisation,52,Place
590,Organisation,81,Place
591,Organisation,81,Place
592,Organisation,81,Place
593,Organisation,81,Place
594,Organisation,81,Place
595,Organisation,81,Place
596,Organisation,81,Place
597,Organisation,81,Place
598,Organisation,81,Place
599,Organisation,81,Place
600,Organisation,81,Place
601,Organisation,81,Place
602,Organisation,81,Place
603,Organisation,81,Place
604,Organisation,81,Place
605,Organisation,81,Place
606,Organisation,81,Place
607,Organisation,81,Place
608,Organisation,18,Place
609,Organisation,18,Place
610,Organisation,18,Place
611,Organisation,18,Place
612,Organisation,18,Place
613,Organisation,18,Place
614,Organisation,18,Place
615,Organisation,18,Place
616,Organisation,18,Place
617,Organisation,18,Place
618,Organisation,82,Place
619,Organisation,82,Place
