start_id,start_vertex_type,end_id,end_vertex_type
1,Place,1455,Place
2,Place,1455,Place
3,Place,1456,Place
4,Place,1457,Place
5,Place,1455,Place
6,Place,1458,Place
7,Place,1457,Place
8,Place,1457,Place
9,Place,1456,Place
10,Place,1457,Place
11,Place,1457,Place
12,Place,1459,Place
13,Place,1459,Place
14,Place,1457,Place
15,Place,1457,Place
16,Place,1459,Place
17,Place,1455,Place
18,Place,1455,Place
19,Place,1455,Place
20,Place,1455,Place
21,Place,1457,Place
22,Place,1456,Place
23,Place,1456,Place
24,Place,1457,Place
25,Place,1457,Place
26,Place,1456,Place
27,Place,1456,Place
28,Place,1455,Place
29,Place,1456,Place
30,Place,1460,Place
31,Place,1459,Place
32,Place,1457,Place
33,Place,1457,Place
34,Place,1455,Place
35,Place,1459,Place
36,Place,1460,Place
37,Place,1459,Place
38,Place,1457,Place
39,Place,1457,Place
40,Place,1456,Place
41,Place,1457,Place
42,Place,1455,Place
43,Place,1457,Place
44,Place,1457,Place
45,Place,1456,Place
46,Place,1457,Place
47,Place,1455,Place
48,Place,1458,Place
49,Place,1457,Place
50,Place,1458,Place
51,Place,1457,Place
52,Place,1455,Place
53,Place,1455,Place
54,Place,1459,Place
55,Place,1455,Place
56,Place,1455,Place
57,Place,1457,Place
58,Place,1459,Place
59,Place,1455,Place
60,Place,1455,Place
61,Place,1456,Place
62,Place,1458,Place
63,Place,1460,Place
64,Place,1457,Place
65,Place,1457,Place
66,Place,1455,Place
67,Place,1459,Place
68,Place,1455,Place
69,Place,1456,Place
70,Place,1458,Place
71,Place,1458,Place
72,Place,1459,Place
73,Place,1457,Place
74,Place,1456,Place
75,Place,1456,Place
76,Place,1457,Place
77,Place,1456,Place
78,Place,1457,Place
79,Place,1457,Place
80,Place,1457,Place
81,Place,1455,Place
82,Place,1457,Place
83,Place,1455,Place
84,Place,1456,Place
85,Place,1456,Place
86,Place,1455,Place
87,Place,1457,Place
88,Place,1456,Place
89,Place,1455,Place
90,Place,1457,Place
91,Place,1456,Place
92,Place,1458,Place
93,Place,1457,Place
94,Place,1457,Place
95,Place,1455,Place
96,Place,1457,Place
97,Place,1456,Place
98,Place,1456,Place
99,Place,1455,Place
100,Place,1457,Place
101,Place,1456,Place
102,Place,1457,Place
103,Place,1456,Place
104,Place,1455,Place
105,Place,1456,Place
106,Place,1455,Place
107,Place,1457,Place
108,Place,1457,Place
109,Place,1458,Place
110,Place,1455,Place
111,Place,1456,Place
112,Place,1,Place
113,Place,1,Place
114,Place,1,Place
115,Place,1,Place
116,Place,1,Place
117,Place,1,Place
118,Place,1,Place
119,Place,1,Place
120,Place,1,Place
121,Place,1,Place
122,Place,1,Place
123,Place,1,Place
124,Place,1,Place
125,Place,1,Place
126,Place,1,Place
127,Place,1,Place
128,Place,1,Place
129,Place,1,Place
130,Place,1,Place
131,Place,1,Place
132,Place,1,Place
133,Place,1,Place
134,Place,1,Place
135,Place,1,Place
136,Place,1,Place
137,Place,1,Place
138,Place,1,Place
139,Place,1,Place
140,Place,1,Place
141,Place,1,Place
142,Place,1,Place
143,Place,1,Place
144,Place,1,Place
